model,prompt_id,case_id,prompt,target,target_token_ids,task,topic,layer,top_m,top1_token_id,top1_token,top1_correct,target_in_topm,target_rank_lens,entropy,varentropy,confidence,num_model_layers
microsoft/phi-2,microsoft_phi-2:token_level_qa:2:1:layer16,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,76 8706 43725,token_level_qa,science,16,16,383,The,0.0,0,1585.0,1.6451601504507232,1.3477346186609394,0.3985607508957474,32
microsoft/phi-2,microsoft_phi-2:token_level_qa:2:1:layer31,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,76 8706 43725,token_level_qa,science,31,16,8706,Mars,1.0,1,1.0,0.1177107795086112,0.5399512379006355,0.9810358910905687,32
microsoft/phi-2,microsoft_phi-2:token_level_qa:4:2:layer16,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,1477 2484 22197,token_level_qa,culture,16,16,383,The,0.0,0,94.0,2.1817073766754866,1.1211536309272088,0.3268541658747694,32
microsoft/phi-2,microsoft_phi-2:token_level_qa:4:2:layer31,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,1477 2484 22197,token_level_qa,culture,31,16,3977,William,0.0,1,3.0,0.395382094877738,1.1071893970393387,0.9145452442484873,32
microsoft/phi-2,microsoft_phi-2:factual_completion:2:0:layer16,factual_completion:2:0,A person who teaches students is a,teacher,660 4701 6767 32019,factual_completion,role,16,16,4808,_,0.0,0,152.0,2.2042394193531587,1.256235630243344,0.3912100386130773,32
microsoft/phi-2,microsoft_phi-2:factual_completion:2:0:layer31,factual_completion:2:0,A person who teaches students is a,teacher,660 4701 6767 32019,factual_completion,role,31,16,4701,teacher,1.0,1,1.0,0.37678593912231345,1.369190295958983,0.9317606859024853,32
microsoft/phi-2,microsoft_phi-2:factual_completion:4:1:layer16,factual_completion:4:1,The currency used in Japan is the,yen,56 88 28808 47028,factual_completion,currency,16,16,12429,**,0.0,0,960.0,2.1814556071250926,1.0221862622159397,0.25032360021717476,32
microsoft/phi-2,microsoft_phi-2:factual_completion:4:1:layer31,factual_completion:4:1,The currency used in Japan is the,yen,56 88 28808 47028,factual_completion,currency,31,16,28808,yen,1.0,1,1.0,0.6775712393421437,0.47478336444651964,0.6984114232766246,32
microsoft/phi-2,microsoft_phi-2:factual_completion:3:2:layer16,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,634 13924 21813,factual_completion,language,16,16,635,also,0.0,0,1636.0,2.5758143510110463,0.3812720659122376,0.1685480187834339,32
microsoft/phi-2,microsoft_phi-2:factual_completion:3:2:layer31,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,634 13924 21813,factual_completion,language,31,16,21813,Portuguese,1.0,1,1.0,0.10164515070271762,0.5485589077061788,0.9857837544202595,32
microsoft/phi-2,microsoft_phi-2:generative_open:2:0:layer16,generative_open:2:0,"When people want to celebrate, they often bring",,,generative_open,common,16,16,257,a,,0,,2.5201941754123265,0.4938011523766328,0.20002380039020348,32
microsoft/phi-2,microsoft_phi-2:generative_open:2:0:layer31,generative_open:2:0,"When people want to celebrate, they often bring",,,generative_open,common,31,16,503,out,,0,,1.8516010795998836,1.2200664249475133,0.4182811267890528,32
microsoft/phi-2,microsoft_phi-2:generative_open:4:1:layer16,generative_open:4:1,"In a school hallway, a student may notice the",,,generative_open,scene,16,16,5400,differences,,0,,2.3929125381545053,0.6795405581153553,0.19214202556811974,32
microsoft/phi-2,microsoft_phi-2:generative_open:4:1:layer31,generative_open:4:1,"In a school hallway, a student may notice the",,,generative_open,scene,31,16,4931,presence,,0,,2.4937844825883615,0.47169226352543725,0.19089370042719478,32
microsoft/phi-2,microsoft_phi-2:generative_open:1:2:layer16,generative_open:1:2,A traveler entering a city might first see the,,,generative_open,scene,16,16,5385,familiar,,0,,2.396202054775975,0.7628058361773198,0.2661376067494502,32
microsoft/phi-2,microsoft_phi-2:generative_open:1:2:layer31,generative_open:1:2,A traveler entering a city might first see the,,,generative_open,scene,31,16,1748,city,,0,,1.753539124658019,2.0020820668848867,0.5607764135178019,32
