similarity,prompt_a,prompt_b,source_file_a,source_file_b,normalized_prompt_a,normalized_prompt_b
0.9459459459459459,Day has the opposite meaning of [MASK].,Early has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,day has the opposite meaning of mask,early has the opposite meaning of mask
0.9459459459459459,Left has the opposite meaning of [MASK].,Fast has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,left has the opposite meaning of mask,fast has the opposite meaning of mask
0.9444444444444444,Day has the opposite meaning of [MASK].,Old has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,day has the opposite meaning of mask,old has the opposite meaning of mask
0.9444444444444444,Day has the opposite meaning of [MASK].,Yes has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,day has the opposite meaning of mask,yes has the opposite meaning of mask
0.9444444444444444,Hot has the opposite meaning of [MASK].,Old has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,hot has the opposite meaning of mask,old has the opposite meaning of mask
0.9433962264150944,The plural of foot is [MASK].,The plural of tooth is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the plural of foot is mask,the plural of tooth is mask
0.9428571428571428,"In Romania, the capital city is [MASK].","In Croatia, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in romania the capital city is mask,in croatia the capital city is mask
0.9428571428571428,More than one mouse are called [MASK].,More than one goose are called [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,more than one mouse are called mask,more than one goose are called mask
0.9411764705882353,"In Austria, the capital city is [MASK].","In Syria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in austria the capital city is mask,in syria the capital city is mask
0.9393939393939394,"In Spain, the capital city is [MASK].","In Japan, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in spain the capital city is mask,in japan the capital city is mask
0.9393939393939394,"In China, the capital city is [MASK].","In Chile, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in china the capital city is mask,in chile the capital city is mask
0.9393939393939394,People in Japan pay with the [MASK].,People in Spain pay with the [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,people in japan pay with the mask,people in spain pay with the mask
0.9393939393939394,"In Iran, the capital city is [MASK].","In Jordan, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in iran the capital city is mask,in jordan the capital city is mask
0.9393939393939394,The eagle is classified as a [MASK].,The whale is classified as a [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the eagle is classified as a mask,the whale is classified as a mask
0.9393939393939394,The currency of Japan is the [MASK].,The currency of Spain is the [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the currency of japan is the mask,the currency of spain is the mask
0.9393939393939394,"In France, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in france the capital city is mask,in iran the capital city is mask
0.9375,People in Spain often speak [MASK].,People in Japan often speak [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,people in spain often speak mask,people in japan often speak mask
0.935064935064935,The continent containing Spain is [MASK].,The continent containing Poland is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing spain is mask,the continent containing poland is mask
0.935064935064935,The continent containing Poland is [MASK].,The continent containing Japan is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing poland is mask,the continent containing japan is mask
0.9333333333333333,Romania's capital city is [MASK].,Croatia's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,romania s capital city is mask,croatia s capital city is mask
0.9333333333333333,The capital of Romania is [MASK].,The capital of Croatia is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of romania is mask,the capital of croatia is mask
0.9315068493150684,Up has the opposite meaning of [MASK].,Happy has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,up has the opposite meaning of mask,happy has the opposite meaning of mask
0.9315068493150684,Left has the opposite meaning of [MASK].,Old has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,left has the opposite meaning of mask,old has the opposite meaning of mask
0.9315068493150684,Left has the opposite meaning of [MASK].,Yes has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,left has the opposite meaning of mask,yes has the opposite meaning of mask
0.9315068493150684,Hot has the opposite meaning of [MASK].,Left has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,hot has the opposite meaning of mask,left has the opposite meaning of mask
0.9315068493150684,Day has the opposite meaning of [MASK].,Fast has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,day has the opposite meaning of mask,fast has the opposite meaning of mask
0.9315068493150684,Yes has the opposite meaning of [MASK].,Fast has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,yes has the opposite meaning of mask,fast has the opposite meaning of mask
0.9315068493150684,Hot has the opposite meaning of [MASK].,Fast has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,hot has the opposite meaning of mask,fast has the opposite meaning of mask
0.9310344827586207,Austria's capital city is [MASK].,Syria's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,austria s capital city is mask,syria s capital city is mask
0.9310344827586207,The capital of Austria is [MASK].,The capital of Syria is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of austria is mask,the capital of syria is mask
0.9310344827586207,The language of Spain is [MASK].,The language of Japan is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the language of spain is mask,the language of japan is mask
0.9295774647887324,Up has the opposite meaning of [MASK].,Old has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,up has the opposite meaning of mask,old has the opposite meaning of mask
0.9295774647887324,Up has the opposite meaning of [MASK].,Day has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,up has the opposite meaning of mask,day has the opposite meaning of mask
0.9295774647887324,Up has the opposite meaning of [MASK].,Yes has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,up has the opposite meaning of mask,yes has the opposite meaning of mask
0.9295774647887324,"In Finland, the capital city is [MASK].","In Thailand, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in finland the capital city is mask,in thailand the capital city is mask
0.9295774647887324,Hot has the opposite meaning of [MASK].,Up has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,hot has the opposite meaning of mask,up has the opposite meaning of mask
0.9285714285714286,The opposite of day is [MASK].,The opposite of early is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of day is mask,the opposite of early is mask
0.9285714285714286,The opposite of day is [MASK].,The opposite of happy is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of day is mask,the opposite of happy is mask
0.9285714285714286,The capital of Iran is [MASK].,The capital of Jordan is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of iran is mask,the capital of jordan is mask
0.9285714285714286,Iran's capital city is [MASK].,Jordan's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,iran s capital city is mask,jordan s capital city is mask
0.9285714285714286,The opposite of left is [MASK].,The opposite of fast is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of left is mask,the opposite of fast is mask
0.9285714285714286,The capital of France is [MASK].,The capital of Iran is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of france is mask,the capital of iran is mask
0.9285714285714286,The capital of China is [MASK].,The capital of Chile is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of china is mask,the capital of chile is mask
0.9285714285714286,China's capital city is [MASK].,Chile's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,china s capital city is mask,chile s capital city is mask
0.9285714285714286,Spain's capital city is [MASK].,Japan's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,spain s capital city is mask,japan s capital city is mask
0.9285714285714286,The capital of Spain is [MASK].,The capital of Japan is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the capital of spain is mask,the capital of japan is mask
0.9285714285714286,France's capital city is [MASK].,Iran's capital city is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,france s capital city is mask,iran s capital city is mask
0.927536231884058,"In Russia, the capital city is [MASK].","In Tunisia, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in russia the capital city is mask,in tunisia the capital city is mask
0.927536231884058,"In Russia, the capital city is [MASK].","In Austria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in russia the capital city is mask,in austria the capital city is mask
0.927536231884058,"In Spain, the capital city is [MASK].","In Pakistan, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in spain the capital city is mask,in pakistan the capital city is mask
0.927536231884058,The currency of Brazil is the [MASK].,The currency of Britain is the [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the currency of brazil is the mask,the currency of britain is the mask
0.927536231884058,More than one foot are called [MASK].,More than one goose are called [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,more than one foot are called mask,more than one goose are called mask
0.927536231884058,People in Brazil pay with the [MASK].,People in Britain pay with the [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,people in brazil pay with the mask,people in britain pay with the mask
0.927536231884058,"In Austria, the capital city is [MASK].","In Serbia, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in austria the capital city is mask,in serbia the capital city is mask
0.927536231884058,"In Finland, the capital city is [MASK].","In Poland, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in finland the capital city is mask,in poland the capital city is mask
0.9259259259259259,The opposite of day is [MASK].,The opposite of old is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of day is mask,the opposite of old is mask
0.9259259259259259,The plural of mouse is [MASK].,The plural of goose is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the plural of mouse is mask,the plural of goose is mask
0.9259259259259259,The opposite of hot is [MASK].,The opposite of old is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of hot is mask,the opposite of old is mask
0.9259259259259259,The opposite of day is [MASK].,The opposite of yes is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the opposite of day is mask,the opposite of yes is mask
0.9253731343283582,More than one man are called [MASK].,More than one leaf are called [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,more than one man are called mask,more than one leaf are called mask
0.9253731343283582,"In Japan, the capital city is [MASK].","In Jordan, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in japan the capital city is mask,in jordan the capital city is mask
0.9253731343283582,"In Japan, the capital city is [MASK].","In Poland, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in japan the capital city is mask,in poland the capital city is mask
0.9253731343283582,"In Germany, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in germany the capital city is mask,in iran the capital city is mask
0.9253731343283582,"In Spain, the capital city is [MASK].","In Poland, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in spain the capital city is mask,in poland the capital city is mask
0.9253731343283582,"In Finland, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in finland the capital city is mask,in iran the capital city is mask
0.9253731343283582,"In Russia, the capital city is [MASK].","In Syria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in russia the capital city is mask,in syria the capital city is mask
0.9253731343283582,"In Romania, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in romania the capital city is mask,in iran the capital city is mask
0.925,The continent containing Poland is [MASK].,The continent containing Thailand is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing poland is mask,the continent containing thailand is mask
0.925,The continent containing Germany is [MASK].,The continent containing Nigeria is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing germany is mask,the continent containing nigeria is mask
0.9230769230769231,"In China, the capital city is [MASK].","In Cuba, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in china the capital city is mask,in cuba the capital city is mask
0.9230769230769231,"In Italy, the capital city is [MASK].","In Iraq, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in italy the capital city is mask,in iraq the capital city is mask
0.9230769230769231,"In Italy, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in italy the capital city is mask,in iran the capital city is mask
0.9230769230769231,"In Spain, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in spain the capital city is mask,in iran the capital city is mask
0.9230769230769231,"In Japan, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in japan the capital city is mask,in iran the capital city is mask
0.9230769230769231,"In China, the capital city is [MASK].","In Iran, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in china the capital city is mask,in iran the capital city is mask
0.9230769230769231,"In China, the capital city is [MASK].","In Iraq, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in china the capital city is mask,in iraq the capital city is mask
0.9230769230769231,"In Iran, the capital city is [MASK].","In Syria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in iran the capital city is mask,in syria the capital city is mask
0.9230769230769231,People in Japan often speak [MASK].,People in Poland often speak [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,people in japan often speak mask,people in poland often speak mask
0.9230769230769231,People in Spain often speak [MASK].,People in Poland often speak [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,people in spain often speak mask,people in poland often speak mask
0.9230769230769231,"In Iraq, the capital city is [MASK].","In Syria, the capital city is [MASK].",experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,in iraq the capital city is mask,in syria the capital city is mask
0.9230769230769231,A spider spins a [MASK].,A spider is a [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,a spider spins a mask,a spider is a mask
0.9230769230769231,The continent containing Germany is [MASK].,The continent containing Ghana is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing germany is mask,the continent containing ghana is mask
0.9230769230769231,The continent containing India is [MASK].,The continent containing Nigeria is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing india is mask,the continent containing nigeria is mask
0.9210526315789473,The continent containing India is [MASK].,The continent containing Ghana is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing india is mask,the continent containing ghana is mask
0.9210526315789473,The continent containing Japan is [MASK].,The continent containing Ghana is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing japan is mask,the continent containing ghana is mask
0.9210526315789473,The continent containing Spain is [MASK].,The continent containing China is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing spain is mask,the continent containing china is mask
0.9210526315789473,The continent containing Spain is [MASK].,The continent containing Ghana is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing spain is mask,the continent containing ghana is mask
0.9210526315789473,The continent containing Spain is [MASK].,The continent containing India is [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,the continent containing spain is mask,the continent containing india is mask
0.9210526315789473,Happy has the opposite meaning of [MASK].,Early has the opposite meaning of [MASK].,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,happy has the opposite meaning of mask,early has the opposite meaning of mask
