source_file,row_index,model,prompt_id,task,topic,fact_id,prompt,normalized_prompt
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,900,google/bert_uncased_L-2_H-128_A-2,290,,role,role:cooks_food,A person who cooks food is a [MASK].,a person who cooks food is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,260,,290,,role,role:cooks_food,A person who cooks food is a [MASK].,a person who cooks food is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,260,,260,,role,role:cooks_food,A person who cooks food is a [MASK].,a person who cooks food is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,254,bert-base-uncased,284,,role,role:drives_a_bus,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,574,distilbert-base-uncased,284,,role,role:drives_a_bus,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,894,google/bert_uncased_L-2_H-128_A-2,284,,role,role:drives_a_bus,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,254,,284,,role,role:drives_a_bus,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,254,,254,,role,role:drives_a_bus,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\controls\full_vocab_sanity\outputs\prompt_tables.csv,10,google/bert_uncased_L-2_H-128_A-2,11,factual_simple,role,factual_simple:62,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,8,distilbert-base-uncased,8,factual_simple,role,factual_simple:62,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,31,bert-base-uncased,8,factual_simple,role,factual_simple:62,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,54,google/bert_uncased_L-2_H-128_A-2,8,factual_simple,role,factual_simple:62,A person who drives a bus is a [MASK].,a person who drives a bus is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,262,bert-base-uncased,292,,role,role:flies_planes,A person who flies planes is a [MASK].,a person who flies planes is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,582,distilbert-base-uncased,292,,role,role:flies_planes,A person who flies planes is a [MASK].,a person who flies planes is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,902,google/bert_uncased_L-2_H-128_A-2,292,,role,role:flies_planes,A person who flies planes is a [MASK].,a person who flies planes is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,262,,292,,role,role:flies_planes,A person who flies planes is a [MASK].,a person who flies planes is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,262,,262,,role,role:flies_planes,A person who flies planes is a [MASK].,a person who flies planes is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,264,bert-base-uncased,294,,role,role:paints_pictures,A person who paints pictures is a [MASK].,a person who paints pictures is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,584,distilbert-base-uncased,294,,role,role:paints_pictures,A person who paints pictures is a [MASK].,a person who paints pictures is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,904,google/bert_uncased_L-2_H-128_A-2,294,,role,role:paints_pictures,A person who paints pictures is a [MASK].,a person who paints pictures is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,264,,294,,role,role:paints_pictures,A person who paints pictures is a [MASK].,a person who paints pictures is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,264,,264,,role,role:paints_pictures,A person who paints pictures is a [MASK].,a person who paints pictures is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,266,bert-base-uncased,296,,role,role:plays_music,A person who plays music is a [MASK].,a person who plays music is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,586,distilbert-base-uncased,296,,role,role:plays_music,A person who plays music is a [MASK].,a person who plays music is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,906,google/bert_uncased_L-2_H-128_A-2,296,,role,role:plays_music,A person who plays music is a [MASK].,a person who plays music is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,266,,296,,role,role:plays_music,A person who plays music is a [MASK].,a person who plays music is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,266,,266,,role,role:plays_music,A person who plays music is a [MASK].,a person who plays music is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,258,bert-base-uncased,288,,role,role:studies_science,A person who studies science is a [MASK].,a person who studies science is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,578,distilbert-base-uncased,288,,role,role:studies_science,A person who studies science is a [MASK].,a person who studies science is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,898,google/bert_uncased_L-2_H-128_A-2,288,,role,role:studies_science,A person who studies science is a [MASK].,a person who studies science is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,258,,288,,role,role:studies_science,A person who studies science is a [MASK].,a person who studies science is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,258,,258,,role,role:studies_science,A person who studies science is a [MASK].,a person who studies science is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,252,bert-base-uncased,282,,role,role:teaches,A person who teaches is a [MASK].,a person who teaches is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,572,distilbert-base-uncased,282,,role,role:teaches,A person who teaches is a [MASK].,a person who teaches is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,892,google/bert_uncased_L-2_H-128_A-2,282,,role,role:teaches,A person who teaches is a [MASK].,a person who teaches is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,252,,282,,role,role:teaches,A person who teaches is a [MASK].,a person who teaches is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,252,,252,,role,role:teaches,A person who teaches is a [MASK].,a person who teaches is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,268,bert-base-uncased,298,,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,588,distilbert-base-uncased,298,,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,908,google/bert_uncased_L-2_H-128_A-2,298,,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,268,,298,,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,268,,268,,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,4,distilbert-base-uncased,4,factual_deep,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,27,bert-base-uncased,4,factual_deep,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,50,google/bert_uncased_L-2_H-128_A-2,4,factual_deep,role,role:treats_patients,A person who treats patients is a [MASK].,a person who treats patients is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,256,bert-base-uncased,286,,role,role:writes_books,A person who writes books is a [MASK].,a person who writes books is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,576,distilbert-base-uncased,286,,role,role:writes_books,A person who writes books is a [MASK].,a person who writes books is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,896,google/bert_uncased_L-2_H-128_A-2,286,,role,role:writes_books,A person who writes books is a [MASK].,a person who writes books is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,256,,286,,role,role:writes_books,A person who writes books is a [MASK].,a person who writes books is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,256,,256,,role,role:writes_books,A person who writes books is a [MASK].,a person who writes books is a mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,23,distilbert-base-uncased,26,factual_simple,role,factual_simple:63,A person who writes books is an [MASK].,a person who writes books is an mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,56,bert-base-uncased,26,factual_simple,role,factual_simple:63,A person who writes books is an [MASK].,a person who writes books is an mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,89,google/bert_uncased_L-2_H-128_A-2,26,factual_simple,role,factual_simple:63,A person who writes books is an [MASK].,a person who writes books is an mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,318,bert-base-uncased,356,,common,common:rose,A rose is a [MASK].,a rose is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,638,distilbert-base-uncased,356,,common,common:rose,A rose is a [MASK].,a rose is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,958,google/bert_uncased_L-2_H-128_A-2,356,,common,common:rose,A rose is a [MASK].,a rose is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,318,,356,,common,common:rose,A rose is a [MASK].,a rose is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,318,,318,,common,common:rose,A rose is a [MASK].,a rose is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,272,bert-base-uncased,302,,animal_class,animal_class:salmon,A salmon is a [MASK].,a salmon is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,592,distilbert-base-uncased,302,,animal_class,animal_class:salmon,A salmon is a [MASK].,a salmon is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,912,google/bert_uncased_L-2_H-128_A-2,302,,animal_class,animal_class:salmon,A salmon is a [MASK].,a salmon is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,272,,302,,animal_class,animal_class:salmon,A salmon is a [MASK].,a salmon is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,272,,272,,animal_class,animal_class:salmon,A salmon is a [MASK].,a salmon is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,280,bert-base-uncased,318,,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,600,distilbert-base-uncased,318,,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,920,google/bert_uncased_L-2_H-128_A-2,318,,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,280,,318,,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,280,,280,,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,28,distilbert-base-uncased,31,factual_deep,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,61,bert-base-uncased,31,factual_deep,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\04_uncertainty_steering\data\prompt_tables.csv,94,google/bert_uncased_L-2_H-128_A-2,31,factual_deep,animal_class,animal_class:shark,A shark is a [MASK].,a shark is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,276,bert-base-uncased,306,,animal_class,animal_class:sparrow,A sparrow is a [MASK].,a sparrow is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,596,distilbert-base-uncased,306,,animal_class,animal_class:sparrow,A sparrow is a [MASK].,a sparrow is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,916,google/bert_uncased_L-2_H-128_A-2,306,,animal_class,animal_class:sparrow,A sparrow is a [MASK].,a sparrow is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,276,,306,,animal_class,animal_class:sparrow,A sparrow is a [MASK].,a sparrow is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,276,,276,,animal_class,animal_class:sparrow,A sparrow is a [MASK].,a sparrow is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,286,bert-base-uncased,324,,animal_class,animal_class:spider,A spider is a [MASK].,a spider is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,606,distilbert-base-uncased,324,,animal_class,animal_class:spider,A spider is a [MASK].,a spider is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,926,google/bert_uncased_L-2_H-128_A-2,324,,animal_class,animal_class:spider,A spider is a [MASK].,a spider is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,286,,324,,animal_class,animal_class:spider,A spider is a [MASK].,a spider is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,286,,286,,animal_class,animal_class:spider,A spider is a [MASK].,a spider is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,192,bert-base-uncased,222,,science,science:spider_web,A spider spins a [MASK].,a spider spins a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,512,distilbert-base-uncased,222,,science,science:spider_web,A spider spins a [MASK].,a spider spins a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,832,google/bert_uncased_L-2_H-128_A-2,222,,science,science:spider_web,A spider spins a [MASK].,a spider spins a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,192,,222,,science,science:spider_web,A spider spins a [MASK].,a spider spins a mask
experiments\03_layerwise_k_structure\data\prompts.csv,192,,192,,science,science:spider_web,A spider spins a [MASK].,a spider spins a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,208,bert-base-uncased,238,,math,math:square_sides,A square has [MASK] sides.,a square has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,528,distilbert-base-uncased,238,,math,math:square_sides,A square has [MASK] sides.,a square has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,848,google/bert_uncased_L-2_H-128_A-2,238,,math,math:square_sides,A square has [MASK] sides.,a square has mask sides
experiments\02_local_perturbation_prediction\data\prompts.csv,208,,238,,math,math:square_sides,A square has [MASK] sides.,a square has mask sides
experiments\03_layerwise_k_structure\data\prompts.csv,208,,208,,math,math:square_sides,A square has [MASK] sides.,a square has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,210,bert-base-uncased,240,,math,math:triangle_sides,A triangle has [MASK] sides.,a triangle has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,530,distilbert-base-uncased,240,,math,math:triangle_sides,A triangle has [MASK] sides.,a triangle has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,850,google/bert_uncased_L-2_H-128_A-2,240,,math,math:triangle_sides,A triangle has [MASK] sides.,a triangle has mask sides
experiments\02_local_perturbation_prediction\data\prompts.csv,210,,240,,math,math:triangle_sides,A triangle has [MASK] sides.,a triangle has mask sides
experiments\03_layerwise_k_structure\data\prompts.csv,210,,210,,math,math:triangle_sides,A triangle has [MASK] sides.,a triangle has mask sides
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,274,bert-base-uncased,304,,animal_class,animal_class:trout,A trout is a [MASK].,a trout is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,594,distilbert-base-uncased,304,,animal_class,animal_class:trout,A trout is a [MASK].,a trout is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,914,google/bert_uncased_L-2_H-128_A-2,304,,animal_class,animal_class:trout,A trout is a [MASK].,a trout is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,274,,304,,animal_class,animal_class:trout,A trout is a [MASK].,a trout is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,274,,274,,animal_class,animal_class:trout,A trout is a [MASK].,a trout is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,282,bert-base-uncased,320,,animal_class,animal_class:whale,A whale is a [MASK].,a whale is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,602,distilbert-base-uncased,320,,animal_class,animal_class:whale,A whale is a [MASK].,a whale is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,922,google/bert_uncased_L-2_H-128_A-2,320,,animal_class,animal_class:whale,A whale is a [MASK].,a whale is a mask
experiments\02_local_perturbation_prediction\data\prompts.csv,282,,320,,animal_class,animal_class:whale,A whale is a [MASK].,a whale is a mask
experiments\03_layerwise_k_structure\data\prompts.csv,282,,282,,animal_class,animal_class:whale,A whale is a [MASK].,a whale is a mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,31,bert-base-uncased,31,,capital,capital:austria,Austria's capital city is [MASK].,austria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,351,distilbert-base-uncased,31,,capital,capital:austria,Austria's capital city is [MASK].,austria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,671,google/bert_uncased_L-2_H-128_A-2,31,,capital,capital:austria,Austria's capital city is [MASK].,austria s capital city is mask
experiments\02_local_perturbation_prediction\data\prompts.csv,31,,31,,capital,capital:austria,Austria's capital city is [MASK].,austria s capital city is mask
experiments\03_layerwise_k_structure\data\prompts.csv,31,,31,,capital,capital:austria,Austria's capital city is [MASK].,austria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,190,bert-base-uncased,220,,science,science:bee_product,Bees make [MASK].,bees make mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,510,distilbert-base-uncased,220,,science,science:bee_product,Bees make [MASK].,bees make mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,830,google/bert_uncased_L-2_H-128_A-2,220,,science,science:bee_product,Bees make [MASK].,bees make mask
experiments\02_local_perturbation_prediction\data\prompts.csv,190,,220,,science,science:bee_product,Bees make [MASK].,bees make mask
experiments\03_layerwise_k_structure\data\prompts.csv,190,,190,,science,science:bee_product,Bees make [MASK].,bees make mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,34,bert-base-uncased,34,,capital,capital:belgium,Belgium's capital city is [MASK].,belgium s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,354,distilbert-base-uncased,34,,capital,capital:belgium,Belgium's capital city is [MASK].,belgium s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,674,google/bert_uncased_L-2_H-128_A-2,34,,capital,capital:belgium,Belgium's capital city is [MASK].,belgium s capital city is mask
experiments\02_local_perturbation_prediction\data\prompts.csv,34,,34,,capital,capital:belgium,Belgium's capital city is [MASK].,belgium s capital city is mask
experiments\03_layerwise_k_structure\data\prompts.csv,34,,34,,capital,capital:belgium,Belgium's capital city is [MASK].,belgium s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,223,bert-base-uncased,253,,antonym,antonym:black,Black has the opposite meaning of [MASK].,black has the opposite meaning of mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,543,distilbert-base-uncased,253,,antonym,antonym:black,Black has the opposite meaning of [MASK].,black has the opposite meaning of mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,863,google/bert_uncased_L-2_H-128_A-2,253,,antonym,antonym:black,Black has the opposite meaning of [MASK].,black has the opposite meaning of mask
experiments\02_local_perturbation_prediction\data\prompts.csv,223,,253,,antonym,antonym:black,Black has the opposite meaning of [MASK].,black has the opposite meaning of mask
experiments\03_layerwise_k_structure\data\prompts.csv,223,,223,,antonym,antonym:black,Black has the opposite meaning of [MASK].,black has the opposite meaning of mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,314,bert-base-uncased,352,,common,common:bread,Bread is made from [MASK].,bread is made from mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,634,distilbert-base-uncased,352,,common,common:bread,Bread is made from [MASK].,bread is made from mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,954,google/bert_uncased_L-2_H-128_A-2,352,,common,common:bread,Bread is made from [MASK].,bread is made from mask
experiments\02_local_perturbation_prediction\data\prompts.csv,314,,352,,common,common:bread,Bread is made from [MASK].,bread is made from mask
experiments\03_layerwise_k_structure\data\prompts.csv,314,,314,,common,common:bread,Bread is made from [MASK].,bread is made from mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,55,bert-base-uncased,55,,capital,capital:bulgaria,Bulgaria's capital city is [MASK].,bulgaria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,375,distilbert-base-uncased,55,,capital,capital:bulgaria,Bulgaria's capital city is [MASK].,bulgaria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,695,google/bert_uncased_L-2_H-128_A-2,55,,capital,capital:bulgaria,Bulgaria's capital city is [MASK].,bulgaria s capital city is mask
experiments\02_local_perturbation_prediction\data\prompts.csv,55,,55,,capital,capital:bulgaria,Bulgaria's capital city is [MASK].,bulgaria s capital city is mask
experiments\03_layerwise_k_structure\data\prompts.csv,55,,55,,capital,capital:bulgaria,Bulgaria's capital city is [MASK].,bulgaria s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,302,bert-base-uncased,340,,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,622,distilbert-base-uncased,340,,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,942,google/bert_uncased_L-2_H-128_A-2,340,,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\02_local_perturbation_prediction\data\prompts.csv,302,,340,,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\03_layerwise_k_structure\data\prompts.csv,302,,302,,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,18,distilbert-base-uncased,19,factual_deep,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,41,bert-base-uncased,19,factual_deep,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\controls\topk_robustness\outputs\prompt_tables.csv,64,google/bert_uncased_L-2_H-128_A-2,19,factual_deep,culture,culture:darwin,Charles Darwin is associated with [MASK].,charles darwin is associated with mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,91,bert-base-uncased,91,,capital,capital:chile,Chile's capital city is [MASK].,chile s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,411,distilbert-base-uncased,91,,capital,capital:chile,Chile's capital city is [MASK].,chile s capital city is mask
experiments\01_matched_scalar_uncertainty\data\source_prompts.csv,731,google/bert_uncased_L-2_H-128_A-2,91,,capital,capital:chile,Chile's capital city is [MASK].,chile s capital city is mask
experiments\02_local_perturbation_prediction\data\prompts.csv,91,,91,,capital,capital:chile,Chile's capital city is [MASK].,chile s capital city is mask
