failure_type,model,prompt_id,prompt,task,topic,observed_condition,final_top1_token,layer,subspace_family,subspace_k,top_k_output,direction,sign,rho,abs_delta_entropy,abs_delta_varentropy,full_vocab_top10_jaccard,selected_top1_changed,rho_topk_range,candidate_set_kl,candidate_mass_retention_ratio
top1_changed,bert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,8,random,8,32.0,accessible_ls,decrease,0.2972879280141365,0.0222621152196738,0.0450839719782881,1.0,1.0,,0.0012464375068472,1.0202935932825747
top1_changed,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,6,state_pca,8,32.0,accessible_ls,decrease,0.3867347297028066,0.0199697614960983,0.0357451555685988,1.0,1.0,,0.0011967350383156,1.023158293848748
top1_changed,google/bert_uncased_L-2_H-128_A-2,11,Ten divided by two equals [MASK].,factual_simple,math,error,two,1,random,8,32.0,accessible_ls,decrease,0.1861223850769884,0.0191995444932198,0.0328097952864745,1.0,1.0,,0.0012356197846414,0.9953220398202942
top1_changed,bert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,correct,late,8,delta_pca,8,32.0,accessible_ls,decrease,0.2089915594190785,0.0186366746587629,0.0303064937565741,1.0,1.0,,0.0012360294222914,1.0285367835577852
top1_changed,bert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,8,delta_pca,8,32.0,accessible_ls,increase,0.2457540680343848,0.0185425588561796,0.0463473315383637,0.8181818181818182,1.0,,0.0012667429577485,0.9796750050590766
top1_changed,bert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,present,4,state_pca,8,32.0,accessible_ls,increase,0.2263402093798097,0.0182501663923226,0.0417514460331182,1.0,1.0,,0.0012644791850202,0.972511777666265
top1_changed,bert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,8,random,8,32.0,accessible_ls,decrease,0.2663791416635296,0.0181519471151552,0.0439252717514645,1.0,1.0,,0.0012687247347679,1.0369984330673192
top1_changed,bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,4,delta_pca,8,32.0,accessible_ls,increase,0.2119559548497102,0.0179736574899878,0.0430533305015703,1.0,1.0,,0.0012370747038007,0.9982873076069828
top1_changed,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,6,random,8,32.0,accessible_ls,increase,0.360301160521453,0.0179110375766096,0.0342677528779122,1.0,1.0,,0.0012722838623476,0.9908373851109502
top1_changed,google/bert_uncased_L-2_H-128_A-2,14,The capital of Austria is [MASK].,factual_simple,capital,error,austria,1,state_pca,8,32.0,accessible_ls,decrease,0.1692225487508631,0.0152753619744014,0.0319418575577021,1.0,1.0,,0.0012667606167334,0.9968444164655716
top1_changed,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,4,delta_pca,8,32.0,accessible_ls,decrease,0.3002401043039732,0.0130716231837029,0.0297607407866868,1.0,1.0,,0.0012403691570298,0.9849089427689972
top1_changed,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,4,random,8,32.0,accessible_ls,increase,0.4222406613257706,0.0127967678308813,0.0291613247524361,0.6666666666666666,1.0,,0.0012651721363059,0.9684822878072517
top1_changed,distilbert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,room,2,random,8,32.0,accessible_ls,decrease,0.1755947761032975,0.0105600582883496,0.0253598376768094,1.0,1.0,,0.0012492407479575,1.0017606418211804
top10_degradation,distilbert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,2,random,8,32.0,accessible_ls,increase,0.2735155106178547,0.0113829417917603,0.0259388763864868,0.6666666666666666,0.0,,0.0012492310558054,0.9770806653630492
top10_degradation,distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,2,delta_pca,8,32.0,accessible_ls,increase,0.4643883187973898,0.0198922348805101,0.05565874445976,0.6666666666666666,0.0,,0.0012437547348711,0.9822202838360132
top10_degradation,distilbert-base-uncased,6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous,docks,4,state_pca,8,32.0,accessible_ls,increase,0.6009416825922994,0.0300375364860108,0.0780166986383317,0.6666666666666666,0.0,,0.0012640048647929,0.9526662650968252
top10_degradation,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,4,random,8,32.0,accessible_ls,increase,0.4222406613257706,0.0127967678308813,0.0291613247524361,0.6666666666666666,1.0,,0.0012651721363059,0.9684822878072517
top10_degradation,distilbert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,cultivated,4,delta_pca,8,32.0,accessible_ls,decrease,0.2716083761317795,0.0162246518296331,0.036343573917978,0.6666666666666666,0.0,,0.0012224795660384,0.99731774407035
top10_degradation,distilbert-base-uncased,6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous,docks,4,random,8,32.0,accessible_ls,decrease,0.5675884855825559,0.0321888334416642,0.082143125774905,0.6666666666666666,0.0,,0.0012576958238735,1.0256530720095136
top10_degradation,bert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,way,4,random,8,32.0,accessible_ls,increase,0.3690590166950875,0.0153218294192809,0.03442879955655,0.6666666666666666,0.0,,0.001262002742879,0.9917552147962636
top10_degradation,bert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,way,4,state_pca,8,32.0,accessible_ls,increase,0.2924066313336489,0.0135536064477381,0.0288685552433196,0.6666666666666666,0.0,,0.0012663178895248,0.953262390117914
top10_degradation,bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,8,delta_pca,8,32.0,accessible_ls,decrease,0.6157744696872253,0.0551207122908805,0.1030772933877064,0.6666666666666666,0.0,,0.0011970838341258,1.0163428531142298
top10_degradation,bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,8,state_pca,8,32.0,accessible_ls,decrease,0.8407128363682314,0.0655251356188424,0.1190173499895981,0.6666666666666666,0.0,,0.0012364407598046,1.0401734369021347
top10_degradation,google/bert_uncased_L-2_H-128_A-2,6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous,town,2,state_pca,8,32.0,accessible_ls,decrease,0.4138645812249015,0.0234451713274737,0.0433780228634057,0.6666666666666666,0.0,,0.0012363050245901,1.016800951504727
top10_degradation,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,2,state_pca,8,32.0,accessible_ls,increase,0.694962533824978,0.0298725472592682,0.0702172985560922,0.8181818181818182,0.0,,0.0012510974967643,0.955423197598154
top10_degradation,distilbert-base-uncased,1,The plural of person is [MASK].,factual_deep,plural,error,plural,2,random,8,32.0,accessible_ls,increase,0.4918644722709344,0.0165039530102859,0.0390850687786719,0.8181818181818182,0.0,,0.0012533855861619,0.9549800473307832
top10_degradation,distilbert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,referee,2,random,8,32.0,accessible_ls,increase,0.2630758682440675,0.0131770133950652,0.0319271497008738,0.8181818181818182,0.0,,0.0012768593447646,0.9896353775833868
top10_degradation,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,random,8,32.0,accessible_ls,decrease,0.2156800919197509,0.0185463030840167,0.0529449744344081,0.8181818181818182,0.0,,0.0012371779364924,0.9978424077607998
top10_degradation,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,state_pca,8,32.0,accessible_ls,increase,0.3713398504493843,0.0212735469346685,0.059168273529833,0.8181818181818182,0.0,,0.0012358056773276,0.9938445462757768
top10_degradation,distilbert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,cultivated,2,state_pca,8,32.0,accessible_ls,decrease,0.6753181268865768,0.0281834667887412,0.0604352361404861,0.8181818181818182,0.0,,0.0012418113869574,1.0498253527863617
top10_degradation,distilbert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,cultivated,2,delta_pca,8,32.0,accessible_ls,decrease,0.492955809518535,0.0241124744332337,0.0522457785749714,0.8181818181818182,0.0,,0.0012347336437946,1.0259568912519033
top10_degradation,distilbert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,2,state_pca,8,32.0,accessible_ls,increase,0.4885033646927317,0.0156461612763472,0.0356687474768069,0.8181818181818182,0.0,,0.001260813838412,0.945635202931286
top10_degradation,distilbert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,cultivated,2,random,8,32.0,accessible_ls,decrease,0.3325377181739531,0.019930501148444,0.041234900920287,0.8181818181818182,0.0,,0.0012297844421219,1.020312833196768
top10_degradation,distilbert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,2,delta_pca,8,32.0,accessible_ls,increase,0.5028925533886213,0.0157563382263261,0.036677866905333,0.8181818181818182,0.0,,0.0012531679586043,0.964114133750572
top10_degradation,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,state_pca,8,32.0,accessible_ls,decrease,0.2427455800356125,0.0118598737627939,0.0254391948479428,0.8181818181818182,0.0,,0.0012186600050116,1.0291868788099936
top10_degradation,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,delta_pca,8,32.0,accessible_ls,increase,0.4348079979639516,0.0132223212193745,0.0282478424911394,0.8181818181818182,0.0,,0.0012673253293196,1.0210871792812362
top10_degradation,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,random,8,32.0,accessible_ls,increase,0.3578929533969668,0.0119527513781663,0.0266122488282559,0.8181818181818182,0.0,,0.0012721398213078,1.0056307771017614
top10_degradation,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,random,8,32.0,accessible_ls,decrease,0.3578929533969668,0.0140946416323384,0.0305402105708619,0.8181818181818182,0.0,,0.0012272639435817,0.9906802318861572
top10_degradation,distilbert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,error,unknown,2,state_pca,8,32.0,accessible_ls,increase,0.5111935466563379,0.0198607621390056,0.0453290321876597,0.8181818181818182,0.0,,0.0012678059745019,0.9545913602190284
top10_degradation,distilbert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,error,unknown,2,random,8,32.0,accessible_ls,increase,0.422592809395887,0.0174548238403087,0.0472174261497909,0.8181818181818182,0.0,,0.0012446245261351,0.9652646630066216
top10_degradation,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,2,delta_pca,8,32.0,accessible_ls,increase,0.6277653880446279,0.0286430150950081,0.0670471692035025,0.8181818181818182,0.0,,0.0012679367024978,0.9596304775244082
top10_degradation,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,2,delta_pca,8,32.0,accessible_ls,decrease,0.6277653880446279,0.030907602343456,0.0704481919196108,0.8181818181818182,0.0,,0.0012309109594893,1.0403431640188938
top10_degradation,distilbert-base-uncased,1,The plural of person is [MASK].,factual_deep,plural,error,plural,2,state_pca,8,32.0,accessible_ls,increase,0.2313840931461397,0.0110184828375587,0.0284585361083245,0.8181818181818182,0.0,,0.0012532773902104,0.9768054195574905
top10_degradation,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,delta_pca,8,32.0,accessible_ls,increase,0.4190480269631012,0.0229234437372976,0.0639689424381158,0.8181818181818182,0.0,,0.0012646544869201,0.972062867276698
top10_degradation,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,state_pca,8,32.0,accessible_ls,decrease,0.3713398504493843,0.0245087384221949,0.0662058830394071,0.8181818181818182,0.0,,0.0012630780949093,1.0060886029826892
top10_degradation,distilbert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,2,state_pca,8,32.0,accessible_ls,increase,0.5044359987350542,0.0274005891547721,0.0729282095101413,0.8181818181818182,0.0,,0.0012627520966231,0.9706347513809648
top10_degradation,distilbert-base-uncased,11,Ten divided by two equals [MASK].,factual_simple,math,error,zero,2,random,8,32.0,accessible_ls,increase,0.7537630017841659,0.0533648487827882,0.1261388056572032,0.8181818181818182,0.0,,0.0012618280740262,0.9630995406537745
top10_degradation,distilbert-base-uncased,11,Ten divided by two equals [MASK].,factual_simple,math,error,zero,2,delta_pca,8,32.0,accessible_ls,decrease,0.8035253754633219,0.0573356818918942,0.126915798106922,0.8181818181818182,0.0,,0.001233453162477,1.0317135389496137
top10_degradation,distilbert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,2,delta_pca,8,32.0,accessible_ls,decrease,0.5836653999190341,0.0319946101368011,0.0813871461016129,0.8181818181818182,0.0,,0.0012369332457409,1.0349484295459874
top10_degradation,distilbert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,2,random,8,32.0,accessible_ls,increase,0.776723258096397,0.0512410380867827,0.1043963952733757,0.8181818181818182,0.0,,0.0012720166170984,0.9660542726273372
top10_degradation,distilbert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,2,random,8,32.0,accessible_ls,decrease,0.4826948944845955,0.0295533729065953,0.0777652546453532,0.8181818181818182,0.0,,0.0012559521790081,1.01262273830385
top10_degradation,distilbert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,2,state_pca,8,32.0,accessible_ls,increase,0.6680737353591125,0.047589205683399,0.0991787767884391,0.8181818181818182,0.0,,0.0012859619898213,0.9432029888206088
top10_degradation,distilbert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,2,delta_pca,8,32.0,accessible_ls,decrease,0.7494453208384668,0.0519951887579352,0.1048407114185252,0.8181818181818182,0.0,,0.0012355480268964,1.0460675820557577
rho_unstable_across_topk,bert-base-uncased,16,The continent containing Egypt is [MASK].,factual_deep,continent,error,unknown,12,state_pca,8,,score_only,score_only,0.2066140562801989,,,,,0.8480338170581397,,
rho_unstable_across_topk,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,4,delta_pca,8,,score_only,score_only,0.3002401043039732,,,,,0.8079610319439401,,
rho_unstable_across_topk,distilbert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,sky,6,state_pca,8,,score_only,score_only,0.5499962003831413,,,,,0.7647901688616676,,
rho_unstable_across_topk,distilbert-base-uncased,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,darwin,2,random,8,,score_only,score_only,0.5896453002947163,,,,,0.7634216527675234,,
rho_unstable_across_topk,distilbert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,referee,2,delta_pca,8,,score_only,score_only,0.2487208936517584,,,,,0.7611069864525041,,
rho_unstable_across_topk,distilbert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,sky,2,random,8,,score_only,score_only,0.4001984195962381,,,,,0.7555127676984823,,
rho_unstable_across_topk,distilbert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,sky,4,random,8,,score_only,score_only,0.674059808579668,,,,,0.749877388909795,,
rho_unstable_across_topk,distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,2,state_pca,8,,score_only,score_only,0.617432016234268,,,,,0.730472808460219,,
rho_unstable_across_topk,bert-base-uncased,16,The continent containing Egypt is [MASK].,factual_deep,continent,error,unknown,8,delta_pca,8,,score_only,score_only,0.3372003436943344,,,,,0.7236597225923805,,
rho_unstable_across_topk,bert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,map,8,random,8,,score_only,score_only,0.6228119458846575,,,,,0.6876362078598469,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,7,Grass is usually [MASK].,factual_deep,common,error,dry,2,random,8,,score_only,score_only,0.3781453856905707,,,,,0.6868513083122856,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,8,A person who drives a bus is a [MASK].,factual_simple,role,error,car,1,state_pca,8,,score_only,score_only,0.5358846115555158,,,,,0.6864190440317347,,
rho_unstable_across_topk,bert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,correct,doctor,8,random,8,,score_only,score_only,0.3733335121071764,,,,,0.6822697428795214,,
rho_unstable_across_topk,distilbert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,4,delta_pca,8,,score_only,score_only,0.2820100613345822,,,,,0.6813345856355585,,
rho_unstable_across_topk,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,delta_pca,8,,score_only,score_only,0.4348079979639516,,,,,0.6781582616134058,,
rho_unstable_across_topk,bert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,map,12,random,8,,score_only,score_only,0.3373481141862299,,,,,0.6752575412343484,,
rho_unstable_across_topk,bert-base-uncased,15,The patient waited for the [MASK].,ambiguous_open,role,ambiguous,doctor,4,random,8,,score_only,score_only,0.6886281899986394,,,,,0.6707680687576054,,
rho_unstable_across_topk,distilbert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,4,delta_pca,8,,score_only,score_only,0.5174115660651305,,,,,0.6683726710310866,,
rho_unstable_across_topk,distilbert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,error,physician,2,random,8,,score_only,score_only,0.5895509052773581,,,,,0.6677608210150078,,
rho_unstable_across_topk,distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,4,delta_pca,8,,score_only,score_only,0.7412256346254924,,,,,0.6637128795296252,,
rho_unstable_across_topk,distilbert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,cultivated,6,random,8,,score_only,score_only,0.3042870071065465,,,,,0.6610684227594388,,
rho_unstable_across_topk,bert-base-uncased,6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous,river,4,delta_pca,8,,score_only,score_only,0.7048353717202244,,,,,0.6548548867574225,,
rho_unstable_across_topk,distilbert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,4,delta_pca,8,,score_only,score_only,0.2949941810415847,,,,,0.650314265395222,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,1,The plural of person is [MASK].,factual_deep,plural,error,plural,1,state_pca,8,,score_only,score_only,0.4821244337459431,,,,,0.6493897054648984,,
rho_unstable_across_topk,bert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,8,random,8,,score_only,score_only,0.473736627191653,,,,,0.6480254946355385,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,hospital,2,random,8,,score_only,score_only,0.4380670557319747,,,,,0.6453161422825788,,
rho_unstable_across_topk,bert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,way,4,delta_pca,8,,score_only,score_only,0.2606305101312783,,,,,0.6410022968270412,,
rho_unstable_across_topk,bert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,coach,4,random,8,,score_only,score_only,0.676665800480611,,,,,0.6398373961786379,,
rho_unstable_across_topk,bert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,4,random,8,,score_only,score_only,0.3096643844387115,,,,,0.6397705903341384,,
rho_unstable_across_topk,distilbert-base-uncased,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,darwin,4,random,8,,score_only,score_only,0.5289329882001763,,,,,0.6391416639806796,,
rho_unstable_across_topk,distilbert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,4,state_pca,8,,score_only,score_only,0.3159211162666923,,,,,0.63769524257367,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,2,The opposite of yes is [MASK].,factual_simple,lexical,error,there,2,random,8,,score_only,score_only,0.5489937475091023,,,,,0.6376774377270857,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,20,The language of Germany is [MASK].,factual_simple,language,error,germany,1,state_pca,8,,score_only,score_only,0.4065488832314587,,,,,0.6336713050405771,,
rho_unstable_across_topk,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,6,random,8,,score_only,score_only,0.360301160521453,,,,,0.6298491485865164,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,23,The color of grass is usually [MASK].,factual_simple,common,error,white,2,state_pca,8,,score_only,score_only,0.5564144038422092,,,,,0.6283903568464282,,
rho_unstable_across_topk,bert-base-uncased,18,Yesterday they studied the [MASK].,ambiguous_open,open,ambiguous,map,12,state_pca,8,,score_only,score_only,0.4614301675588689,,,,,0.6281866173198346,,
rho_unstable_across_topk,bert-base-uncased,7,Grass is usually [MASK].,factual_deep,common,error,present,8,delta_pca,8,,score_only,score_only,0.3670345257806807,,,,,0.6278255710217696,,
rho_unstable_across_topk,distilbert-base-uncased,16,The continent containing Egypt is [MASK].,factual_deep,continent,error,unknown,2,delta_pca,8,,score_only,score_only,0.6239637485236018,,,,,0.6250991854864919,,
rho_unstable_across_topk,distilbert-base-uncased,1,The plural of person is [MASK].,factual_deep,plural,error,plural,2,random,8,,score_only,score_only,0.4918644722709344,,,,,0.6235908070936909,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,16,The continent containing Egypt is [MASK].,factual_deep,continent,error,found,2,random,8,,score_only,score_only,0.2446454702611502,,,,,0.6183200349681666,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,2,The opposite of yes is [MASK].,factual_simple,lexical,error,there,1,state_pca,8,,score_only,score_only,0.5609994904799686,,,,,0.6175157299286169,,
rho_unstable_across_topk,distilbert-base-uncased,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,darwin,4,delta_pca,8,,score_only,score_only,0.4835952565356339,,,,,0.6138804879734143,,
rho_unstable_across_topk,bert-base-uncased,23,The color of grass is usually [MASK].,factual_simple,common,error,white,4,random,8,,score_only,score_only,0.5388904377058636,,,,,0.6128293572905571,,
rho_unstable_across_topk,distilbert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,room,2,state_pca,8,,score_only,score_only,0.4725153332941077,,,,,0.6127023420463449,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,dr,2,state_pca,8,,score_only,score_only,0.4185638247486558,,,,,0.6125100734044896,,
rho_unstable_across_topk,distilbert-base-uncased,21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous,room,2,random,8,,score_only,score_only,0.1755947761032975,,,,,0.612425875219921,,
rho_unstable_across_topk,bert-base-uncased,16,The continent containing Egypt is [MASK].,factual_deep,continent,error,unknown,4,state_pca,8,,score_only,score_only,0.7240211396115268,,,,,0.6112288458604375,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,5,The capital of Japan is [MASK].,factual_simple,capital,error,japan,1,random,8,,score_only,score_only,0.1715564150812828,,,,,0.6109013663186224,,
rho_unstable_across_topk,distilbert-base-uncased,5,The capital of Japan is [MASK].,factual_simple,capital,correct,tokyo,4,state_pca,8,,score_only,score_only,0.4485536594203014,,,,,0.6087919185319577,,
rho_unstable_across_topk,distilbert-base-uncased,15,The patient waited for the [MASK].,ambiguous_open,role,ambiguous,doctor,2,delta_pca,8,,score_only,score_only,0.3883130997153447,,,,,0.6082811821737278,,
rho_unstable_across_topk,distilbert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,4,state_pca,8,,score_only,score_only,0.7319211799586998,,,,,0.6068517327776913,,
rho_unstable_across_topk,bert-base-uncased,4,A person who treats patients is a [MASK].,factual_deep,role,correct,doctor,4,random,8,,score_only,score_only,0.6163651766732854,,,,,0.6032208862454975,,
rho_unstable_across_topk,bert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,8,random,8,,score_only,score_only,0.4966593757431594,,,,,0.6029758361296786,,
rho_unstable_across_topk,distilbert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,2,state_pca,8,,score_only,score_only,0.4063996964838733,,,,,0.5997781882833919,,
rho_unstable_across_topk,distilbert-base-uncased,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,darwin,6,state_pca,8,,score_only,score_only,0.788068418311852,,,,,0.5970905989372253,,
rho_unstable_across_topk,distilbert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,cafeteria,2,random,8,,score_only,score_only,0.3578929533969668,,,,,0.5968032399979739,,
rho_unstable_across_topk,distilbert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,error,unknown,2,delta_pca,8,,score_only,score_only,0.5523656025176964,,,,,0.5937443636794,,
