prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,air,0.3581156948469332,,google/bert_uncased_L-2_H-128_A-2
7,China is located in [MASK].,factual_deep,continent,continent:china,t0,asia,4021.0,error,china,0.6702692518496529,31.0,google/bert_uncased_L-2_H-128_A-2
9,The match ended near the [MASK].,ambiguous_open,polysemy,ambiguous_open:163,extended,,,ambiguous,match,0.29257060519421685,,google/bert_uncased_L-2_H-128_A-2
10,The currency of Italy is the [MASK].,factual_deep,currency,currency:italy,t0,euro,9944.0,error,world,0.21170601589542234,127.0,google/bert_uncased_L-2_H-128_A-2
11,Five minus two equals [MASK].,factual_simple,math,factual_simple:52,extended,three,2093.0,error,1,0.17050651938635702,5.0,google/bert_uncased_L-2_H-128_A-2
12,The bank was beside the [MASK].,ambiguous_open,polysemy,ambiguous_open:160,extended,,,ambiguous,bank,0.46240218942944344,,google/bert_uncased_L-2_H-128_A-2
13,The sum of two and two is [MASK].,factual_deep,math,math:2+2,t1,four,2176.0,error,two,0.16438767776532381,16.0,google/bert_uncased_L-2_H-128_A-2
15,People at the airport asked for a [MASK].,ambiguous_open,open,ambiguous_open:146,extended,,,ambiguous,airport,0.6730467389585724,,google/bert_uncased_L-2_H-128_A-2
16,People in Spain often speak [MASK].,factual_deep,language,language:spain,t1,spanish,3009.0,correct,spanish,0.40813993076449945,1.0,google/bert_uncased_L-2_H-128_A-2
18,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,club,0.27173419427700424,,google/bert_uncased_L-2_H-128_A-2
19,Someone who drives a bus can be called a [MASK].,factual_deep,role,role:drives_a_bus,t1,driver,4062.0,error,car,0.24601459391630845,9.0,google/bert_uncased_L-2_H-128_A-2
20,The capital of Austria is [MASK].,factual_simple,capital,factual_simple:9,extended,vienna,6004.0,error,austria,0.27199996711825875,11.0,google/bert_uncased_L-2_H-128_A-2
21,He waited near the [MASK].,ambiguous_open,open,ambiguous_open:157,extended,,,ambiguous,town,0.19701680360135768,,google/bert_uncased_L-2_H-128_A-2
22,The rose is a kind of [MASK].,factual_deep,common,common:rose,t1,flower,6546.0,error,wine,0.24280248005106234,58.0,google/bert_uncased_L-2_H-128_A-2
23,Two plus two equals [MASK].,factual_simple,math,factual_simple:51,extended,four,2176.0,error,2,0.19418448349040446,13.0,google/bert_uncased_L-2_H-128_A-2
24,The person went to the [MASK].,ambiguous_open,open,ambiguous_open:150,extended,,,ambiguous,world,0.28891297801183374,,google/bert_uncased_L-2_H-128_A-2
25,The heart pumps [MASK].,factual_deep,science,science:heart,t0,blood,2668.0,error,.,0.7241105750362595,24.0,google/bert_uncased_L-2_H-128_A-2
26,A person who writes books is an [MASK].,factual_simple,role,factual_simple:63,extended,author,3166.0,correct,author,0.8191131185080203,1.0,google/bert_uncased_L-2_H-128_A-2
27,The worker lost the [MASK].,ambiguous_open,open,ambiguous_open:91,extended,,,ambiguous,party,0.15261226248989163,,google/bert_uncased_L-2_H-128_A-2
28,More than one knife are called [MASK].,factual_deep,plural,plural:knife,t1,knives,13227.0,error,it,0.20886325650704848,22.0,google/bert_uncased_L-2_H-128_A-2
29,The plural of child is [MASK].,factual_simple,lexical,factual_simple:59,extended,children,2336.0,error,unknown,0.14710467848705686,26.0,google/bert_uncased_L-2_H-128_A-2
30,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,hospital,0.40324907058374626,,google/bert_uncased_L-2_H-128_A-2
31,A shark is a [MASK].,factual_deep,animal_class,animal_class:shark,t0,fish,3869.0,error,shark,0.6426563415330013,2.0,google/bert_uncased_L-2_H-128_A-2
32,The language of Spain is [MASK].,factual_simple,language,factual_simple:77,extended,spanish,3009.0,error,spain,0.6045770514371124,2.0,google/bert_uncased_L-2_H-128_A-2
33,The story about the garden mentioned a [MASK].,ambiguous_open,open,ambiguous_open:130,extended,,,ambiguous,story,0.34095062545844756,,google/bert_uncased_L-2_H-128_A-2
34,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,it,0.2955442761083573,163.0,google/bert_uncased_L-2_H-128_A-2
35,The capital of Italy is [MASK].,factual_simple,capital,factual_simple:1,extended,rome,4199.0,error,italy,0.4226715648077482,22.0,google/bert_uncased_L-2_H-128_A-2
