model,prompt_id,prompt,target,target_id,topic,fact_id,template_id,prompt_observed_condition,target_rank_final,final_top1_token,final_top1_prob_topk,final_top8_tokens
bert-base-uncased,39,The capital of Norway is [MASK].,oslo,9977,capital,capital:norway,t0,correct,1,oslo,0.8009182796811051,oslo bergen trondheim nes ia voss moss rana
bert-base-uncased,40,Norway's capital city is [MASK].,oslo,9977,capital,capital:norway,t1,correct,1,oslo,0.8171791130688488,oslo bergen trondheim voss alta mandal jul strand
bert-base-uncased,41,"In Norway, the capital city is [MASK].",oslo,9977,capital,capital:norway,t2,correct,1,oslo,0.7838057566496458,oslo bergen trondheim alta voss moss nes rana
bert-base-uncased,42,The capital of Sweden is [MASK].,stockholm,8947,capital,capital:sweden,t0,correct,1,stockholm,0.4392435556413451,stockholm malmo gothenburg uppsala lund helsinki sweden oslo
bert-base-uncased,43,Sweden's capital city is [MASK].,stockholm,8947,capital,capital:sweden,t1,correct,1,stockholm,0.4693421363470826,stockholm malmo gothenburg uppsala lund helsinki oslo mora
bert-base-uncased,44,"In Sweden, the capital city is [MASK].",stockholm,8947,capital,capital:sweden,t2,correct,1,stockholm,0.3880446138256176,stockholm gothenburg malmo uppsala lund helsinki oslo mora
bert-base-uncased,45,The capital of Poland is [MASK].,warsaw,8199,capital,capital:poland,t0,correct,1,warsaw,0.6394532329897141,warsaw poznan krakow gdansk wrocław lublin łodz vilnius
bert-base-uncased,46,Poland's capital city is [MASK].,warsaw,8199,capital,capital:poland,t1,correct,1,warsaw,0.6899284830873831,warsaw krakow poznan wrocław gdansk lublin łodz vilnius
bert-base-uncased,47,"In Poland, the capital city is [MASK].",warsaw,8199,capital,capital:poland,t2,correct,1,warsaw,0.5183110561888157,warsaw poznan krakow gdansk wrocław lublin łodz vilnius
bert-base-uncased,48,The capital of Hungary is [MASK].,budapest,10926,capital,capital:hungary,t0,correct,1,budapest,0.9771532277038856,budapest pest bela bratislava vienna bar bala brody
bert-base-uncased,49,Hungary's capital city is [MASK].,budapest,10926,capital,capital:hungary,t1,correct,1,budapest,0.973569640281919,budapest pest bratislava bela brody vienna bala graz
bert-base-uncased,50,"In Hungary, the capital city is [MASK].",budapest,10926,capital,capital:hungary,t2,correct,1,budapest,0.9748934262104983,budapest pest bratislava bela vis bala brody bar
bert-base-uncased,51,The capital of Romania is [MASK].,bucharest,14261,capital,capital:romania,t0,correct,1,bucharest,0.9565200880769622,bucharest bender budapest tau transylvania alba bar var
bert-base-uncased,52,Romania's capital city is [MASK].,bucharest,14261,capital,capital:romania,t1,correct,1,bucharest,0.990992961647162,bucharest bender transylvania alba tau sofia budapest tirana
bert-base-uncased,53,"In Romania, the capital city is [MASK].",bucharest,14261,capital,capital:romania,t2,correct,1,bucharest,0.9530196204725724,bucharest bender transylvania tau alba sofia budapest bar
bert-base-uncased,54,The capital of Bulgaria is [MASK].,sofia,8755,capital,capital:bulgaria,t0,correct,1,sofia,0.982044019657816,sofia ruse skopje tirana kiev thessaloniki bucharest tbilisi
bert-base-uncased,55,Bulgaria's capital city is [MASK].,sofia,8755,capital,capital:bulgaria,t1,correct,1,sofia,0.9832107935154408,sofia ruse skopje tirana thessaloniki kiev bucharest ##grad
bert-base-uncased,56,"In Bulgaria, the capital city is [MASK].",sofia,8755,capital,capital:bulgaria,t2,correct,1,sofia,0.9832054469155984,sofia ruse skopje montana tirana thessaloniki kiev bulgaria
bert-base-uncased,57,The capital of Serbia is [MASK].,belgrade,10291,capital,capital:serbia,t0,correct,1,belgrade,0.9784887242537494,belgrade sofia skopje serbia vis ruse sarajevo kosovo
bert-base-uncased,58,Serbia's capital city is [MASK].,belgrade,10291,capital,capital:serbia,t1,correct,1,belgrade,0.9880042221158196,belgrade sofia skopje serbia sarajevo zagreb novi split
bert-base-uncased,59,"In Serbia, the capital city is [MASK].",belgrade,10291,capital,capital:serbia,t2,correct,1,belgrade,0.9593134314490742,belgrade vis sofia skopje novi sarajevo ruse kosovo
bert-base-uncased,60,The capital of Croatia is [MASK].,zagreb,12974,capital,capital:croatia,t0,correct,1,zagreb,0.9422633583803244,zagreb split ljubljana belgrade croatia sarajevo croatian bled
bert-base-uncased,61,Croatia's capital city is [MASK].,zagreb,12974,capital,capital:croatia,t1,correct,1,zagreb,0.9486987905093552,zagreb split ljubljana belgrade sarajevo croatia croatian novi
bert-base-uncased,62,"In Croatia, the capital city is [MASK].",zagreb,12974,capital,capital:croatia,t2,correct,1,zagreb,0.9091451984833442,zagreb split ljubljana belgrade sarajevo croatia bled novi
bert-base-uncased,63,The capital of Turkey is [MASK].,ankara,20312,capital,capital:turkey,t0,error,2,istanbul,0.5450165523120833,istanbul ankara constantinople batman kazan van bender tbilisi
bert-base-uncased,64,Turkey's capital city is [MASK].,ankara,20312,capital,capital:turkey,t1,error,2,istanbul,0.5853939001493721,istanbul ankara constantinople batman van bender kazan ##elles
bert-base-uncased,65,"In Turkey, the capital city is [MASK].",ankara,20312,capital,capital:turkey,t2,error,2,istanbul,0.5650650330888278,istanbul ankara constantinople batman van ##kaya bender ##elles
bert-base-uncased,66,The capital of Iran is [MASK].,tehran,13503,capital,capital:iran,t0,correct,1,tehran,0.984977478272824,tehran kerman ##fahan tbilisi iran baghdad bam baku
bert-base-uncased,67,Iran's capital city is [MASK].,tehran,13503,capital,capital:iran,t1,correct,1,tehran,0.9896048719557924,tehran kerman ##fahan iran baghdad bam kabul tbilisi
bert-base-uncased,68,"In Iran, the capital city is [MASK].",tehran,13503,capital,capital:iran,t2,correct,1,tehran,0.984317039878062,tehran kerman ##fahan iran kabul baghdad tbilisi bam
bert-base-uncased,69,The capital of Iraq is [MASK].,baghdad,13952,capital,capital:iraq,t0,correct,1,baghdad,0.9908120790313574,baghdad tehran kurdistan kerman saddam iraq iraqi amman
bert-base-uncased,70,Iraq's capital city is [MASK].,baghdad,13952,capital,capital:iraq,t1,correct,1,baghdad,0.990561278046641,baghdad saddam iraq amman iraqi kerman aleppo kurdistan
bert-base-uncased,71,"In Iraq, the capital city is [MASK].",baghdad,13952,capital,capital:iraq,t2,correct,1,baghdad,0.989466510584067,baghdad saddam iraq kurdistan tehran iraqi kerman amman
bert-base-uncased,72,The capital of Syria is [MASK].,damascus,16094,capital,capital:syria,t0,error,2,aleppo,0.626034774466414,aleppo damascus antioch acre beirut tyre syria baghdad
bert-base-uncased,73,Syria's capital city is [MASK].,damascus,16094,capital,capital:syria,t1,error,2,aleppo,0.6953379203790115,aleppo damascus antioch acre tyre baghdad beirut tripoli
bert-base-uncased,74,"In Syria, the capital city is [MASK].",damascus,16094,capital,capital:syria,t2,error,2,aleppo,0.7032455763316843,aleppo damascus acre antioch tyre amara syria tripoli
bert-base-uncased,75,The capital of Jordan is [MASK].,amman,25703,capital,capital:jordan,t0,correct,1,amman,0.975296202678391,amman baghdad damascus hussein bethlehem petra alexandria jordan
bert-base-uncased,76,Jordan's capital city is [MASK].,amman,25703,capital,capital:jordan,t1,correct,1,amman,0.9861895156692752,amman baghdad damascus hussein mecca doha petra jordan
bert-base-uncased,77,"In Jordan, the capital city is [MASK].",amman,25703,capital,capital:jordan,t2,correct,1,amman,0.979142912495357,amman baghdad jordan doha petra damascus hussein casablanca
bert-base-uncased,78,The capital of Lebanon is [MASK].,beirut,15335,capital,capital:lebanon,t0,correct,1,beirut,0.9635724608227516,beirut tyre tripoli acre damascus bethlehem aleppo mar
bert-base-uncased,79,Lebanon's capital city is [MASK].,beirut,15335,capital,capital:lebanon,t1,correct,1,beirut,0.9226209378539592,beirut tyre tripoli acre damascus bethlehem aleppo lebanon
bert-base-uncased,80,"In Lebanon, the capital city is [MASK].",beirut,15335,capital,capital:lebanon,t2,correct,1,beirut,0.9462488294659116,beirut tyre tripoli acre damascus aleppo lebanon mar
bert-base-uncased,81,The capital of Thailand is [MASK].,bangkok,12627,capital,capital:thailand,t0,correct,1,bangkok,0.9975298394277006,bangkok hanoi saigon thailand siam ava tak thai
bert-base-uncased,82,Thailand's capital city is [MASK].,bangkok,12627,capital,capital:thailand,t1,correct,1,bangkok,0.9980730117711222,bangkok hanoi thailand saigon tak ava siam mai
bert-base-uncased,83,"In Thailand, the capital city is [MASK].",bangkok,12627,capital,capital:thailand,t2,correct,1,bangkok,0.9919050906958276,bangkok mai tak saigon thailand thai ava siam
bert-base-uncased,84,The capital of Vietnam is [MASK].,hanoi,24809,capital,capital:vietnam,t0,correct,1,hanoi,0.9022765277772492,hanoi saigon hue bangkok paris nguyen vietnam nam
bert-base-uncased,85,Vietnam's capital city is [MASK].,hanoi,24809,capital,capital:vietnam,t1,correct,1,hanoi,0.8891590494746945,hanoi saigon hue vietnam bangkok van paris nguyen
bert-base-uncased,86,"In Vietnam, the capital city is [MASK].",hanoi,24809,capital,capital:vietnam,t2,correct,1,hanoi,0.831493877139656,hanoi saigon hue vietnam paris bangkok nguyen pau
bert-base-uncased,87,The capital of Peru is [MASK].,lima,12967,capital,capital:peru,t0,correct,1,lima,0.9933882699078982,lima concepcion peru mendoza santiago colon bogota rosario
bert-base-uncased,88,Peru's capital city is [MASK].,lima,12967,capital,capital:peru,t1,correct,1,lima,0.998742253314882,lima concepcion mendoza peru santiago andes bogota cordoba
bert-base-uncased,89,"In Peru, the capital city is [MASK].",lima,12967,capital,capital:peru,t2,correct,1,lima,0.9861347041921492,lima concepcion mendoza andes bolivar santiago colon peru
bert-base-uncased,90,The capital of Chile is [MASK].,santiago,8728,capital,capital:chile,t0,correct,1,santiago,0.8112548046384885,santiago concepcion lima colon chile montevideo mendoza rosario
bert-base-uncased,91,Chile's capital city is [MASK].,santiago,8728,capital,capital:chile,t1,correct,1,santiago,0.905151004417368,santiago concepcion chile lima mendoza colon montevideo luna
bert-base-uncased,92,"In Chile, the capital city is [MASK].",santiago,8728,capital,capital:chile,t2,correct,1,santiago,0.8575257340644947,santiago concepcion colon chile montevideo lima mendoza rosario
bert-base-uncased,93,The capital of Cuba is [MASK].,havana,15278,capital,capital:cuba,t0,correct,1,havana,0.9808768215244986,havana santiago guantanamo caracas castro cuba ponce leon
bert-base-uncased,94,Cuba's capital city is [MASK].,havana,15278,capital,capital:cuba,t1,correct,1,havana,0.959934239312196,havana santiago guantanamo caracas castro leon cuba ponce
bert-base-uncased,95,"In Cuba, the capital city is [MASK].",havana,15278,capital,capital:cuba,t2,correct,1,havana,0.9441687821647822,havana santiago guantanamo caracas ponce cuba castro leon
bert-base-uncased,96,The capital of Jamaica is [MASK].,kingston,9803,capital,capital:jamaica,t0,correct,1,kingston,0.9859609236185806,kingston georgetown santiago montreal jamaica havana mona victoria
bert-base-uncased,97,Jamaica's capital city is [MASK].,kingston,9803,capital,capital:jamaica,t1,correct,1,kingston,0.986662049427784,kingston santiago georgetown jamaica montreal salvador victoria manchester
bert-base-uncased,98,"In Jamaica, the capital city is [MASK].",kingston,9803,capital,capital:jamaica,t2,correct,1,kingston,0.9599745561775734,kingston georgetown montreal santiago jamaica victoria reggae manchester
bert-base-uncased,102,The capital of Tunisia is [MASK].,tunis,25317,capital,capital:tunisia,t0,correct,1,tunis,0.9747189915781114,tunis carthage tunisia algiers tunisian casablanca constantine alexandria
bert-base-uncased,103,Tunisia's capital city is [MASK].,tunis,25317,capital,capital:tunisia,t1,correct,1,tunis,0.9822859524437152,tunis carthage tunisia casablanca algiers constantine tyre tunisian
bert-base-uncased,104,"In Tunisia, the capital city is [MASK].",tunis,25317,capital,capital:tunisia,t2,correct,1,tunis,0.9610945937462594,tunis carthage algiers tunisia casablanca constantine tunisian tyre
bert-base-uncased,120,The capital of Nepal is [MASK].,kathmandu,28045,capital,capital:nepal,t0,correct,1,kathmandu,0.9940782653975349,kathmandu dhaka bam nepal jakarta nara amara bali
bert-base-uncased,121,Nepal's capital city is [MASK].,kathmandu,28045,capital,capital:nepal,t1,correct,1,kathmandu,0.9963891662189318,kathmandu dhaka nepal lucknow bam kota patna amara
bert-base-uncased,122,"In Nepal, the capital city is [MASK].",kathmandu,28045,capital,capital:nepal,t2,correct,1,kathmandu,0.9941396686141508,kathmandu nepal dhaka bam patna lucknow kabul bangkok
bert-base-uncased,123,The capital of Pakistan is [MASK].,islamabad,26905,capital,capital:pakistan,t0,correct,1,islamabad,0.5108443825484684,islamabad karachi lahore peshawar sindh dhaka kabul punjab
bert-base-uncased,124,Pakistan's capital city is [MASK].,islamabad,26905,capital,capital:pakistan,t1,error,2,karachi,0.6042237821406892,karachi islamabad lahore peshawar sindh dhaka swat punjab
bert-base-uncased,125,"In Pakistan, the capital city is [MASK].",islamabad,26905,capital,capital:pakistan,t2,error,2,karachi,0.6419807502430809,karachi islamabad lahore peshawar sindh dhaka kabul punjab
bert-base-uncased,126,The language of France is [MASK].,french,2413,language,language:france,t0,correct,1,french,0.8742915873653094,french english catalan breton basque spanish german latin
bert-base-uncased,127,People in France often speak [MASK].,french,2413,language,language:france,t1,correct,1,french,0.8371620966110412,french english german italian spanish breton arabic catalan
bert-base-uncased,128,The language of Germany is [MASK].,german,2446,language,language:germany,t0,correct,1,german,0.8603730768116868,german french english dutch danish saxon bavarian latin
bert-base-uncased,129,People in Germany often speak [MASK].,german,2446,language,language:germany,t1,correct,1,german,0.7426801620480156,german english french dutch danish russian yiddish italian
bert-base-uncased,130,The language of Italy is [MASK].,italian,3059,language,language:italy,t0,correct,1,italian,0.8938092341336923,italian french venetian sicilian spanish latin english german
bert-base-uncased,131,People in Italy often speak [MASK].,italian,3059,language,language:italy,t1,correct,1,italian,0.839214811777798,italian french english spanish german latin portuguese arabic
bert-base-uncased,132,The language of Spain is [MASK].,spanish,3009,language,language:spain,t0,correct,1,spanish,0.7139804049196081,spanish catalan basque english galician portuguese french latin
bert-base-uncased,133,People in Spain often speak [MASK].,spanish,3009,language,language:spain,t1,correct,1,spanish,0.5739402727761435,spanish catalan english french portuguese italian basque arabic
bert-base-uncased,134,The language of Portugal is [MASK].,portuguese,5077,language,language:portugal,t0,correct,1,portuguese,0.8831481866553784,portuguese spanish french english galician creole catalan italian
bert-base-uncased,135,People in Portugal often speak [MASK].,portuguese,5077,language,language:portugal,t1,correct,1,portuguese,0.8145639048938543,portuguese spanish english french italian catalan latin galician
bert-base-uncased,136,The language of Russia is [MASK].,russian,2845,language,language:russia,t0,correct,1,russian,0.9230700193466967,russian cyrillic english ukrainian tatar german georgian bulgarian
bert-base-uncased,137,People in Russia often speak [MASK].,russian,2845,language,language:russia,t1,correct,1,russian,0.9041921109697142,russian english ukrainian german belarusian french yiddish cyrillic
bert-base-uncased,138,The language of China is [MASK].,chinese,2822,language,language:china,t0,error,3,mandarin,0.2398135188496815,mandarin [UNK] chinese tibetan cantonese manchu pinyin romanized
bert-base-uncased,139,People in China often speak [MASK].,chinese,2822,language,language:china,t1,error,3,mandarin,0.336637550679943,mandarin english chinese cantonese french russian manchu arabic
bert-base-uncased,140,The language of Japan is [MASK].,japanese,2887,language,language:japan,t0,correct,1,japanese,0.6351628103720238,japanese english [UNK] mandarin french german latin spanish
bert-base-uncased,141,People in Japan often speak [MASK].,japanese,2887,language,language:japan,t1,correct,1,japanese,0.4117820240208072,japanese english french mandarin german russian italian chinese
bert-base-uncased,142,The language of Greece is [MASK].,greek,3306,language,language:greece,t0,correct,1,greek,0.7687065789979476,greek albanian turkish english latin macedonian italian french
bert-base-uncased,143,People in Greece often speak [MASK].,greek,3306,language,language:greece,t1,correct,1,greek,0.764065070884284,greek english latin italian albanian french turkish arabic
bert-base-uncased,144,The language of Turkey is [MASK].,turkish,5037,language,language:turkey,t0,correct,1,turkish,0.8229975548134373,turkish kurdish turkic english arabic armenian azerbaijani german
bert-base-uncased,145,People in Turkey often speak [MASK].,turkish,5037,language,language:turkey,t1,correct,1,turkish,0.7261770943415087,turkish kurdish english arabic german russian persian azerbaijani
bert-base-uncased,146,The language of Poland is [MASK].,polish,3907,language,language:poland,t0,correct,1,polish,0.7669614642175487,polish german latin silesian english french russian ukrainian
bert-base-uncased,147,People in Poland often speak [MASK].,polish,3907,language,language:poland,t1,correct,1,polish,0.7617996344832001,polish german yiddish english russian belarusian french ukrainian
bert-base-uncased,148,The language of Hungary is [MASK].,hungarian,5588,language,language:hungary,t0,correct,1,hungarian,0.8824465821538175,hungarian german slovak croatian english turkish kurdish romanian
bert-base-uncased,149,People in Hungary often speak [MASK].,hungarian,5588,language,language:hungary,t1,correct,1,hungarian,0.8789366599177975,hungarian german english yiddish russian french italian polish
bert-base-uncased,150,The language of Romania is [MASK].,romanian,7056,language,language:romania,t0,correct,1,romanian,0.6980835156149796,romanian hungarian german french romani albanian turkish english
bert-base-uncased,151,People in Romania often speak [MASK].,romanian,7056,language,language:romania,t1,correct,1,romanian,0.5324314803348811,romanian hungarian french russian german yiddish english italian
bert-base-uncased,152,The language of Bulgaria is [MASK].,bulgarian,7643,language,language:bulgaria,t0,correct,1,bulgarian,0.9169791694353334,bulgarian macedonian english cyrillic turkish russian serbian german
bert-base-uncased,153,People in Bulgaria often speak [MASK].,bulgarian,7643,language,language:bulgaria,t1,correct,1,bulgarian,0.4669016664826616,bulgarian russian english macedonian serbian german arabic albanian
bert-base-uncased,154,The language of Sweden is [MASK].,swedish,4467,language,language:sweden,t0,correct,1,swedish,0.821648550771454,swedish english danish finnish german sami norwegian spanish
bert-base-uncased,155,People in Sweden often speak [MASK].,swedish,4467,language,language:sweden,t1,correct,1,swedish,0.7526647446101404,swedish english danish german russian finnish french norwegian
bert-base-uncased,156,The language of Norway is [MASK].,norwegian,5046,language,language:norway,t0,correct,1,norwegian,0.7033935534042715,norwegian danish sami german swedish english norse french
bert-base-uncased,157,People in Norway often speak [MASK].,norwegian,5046,language,language:norway,t1,correct,1,norwegian,0.4438993326558034,norwegian danish swedish english german french sami icelandic
bert-base-uncased,158,France is located in [MASK].,europe,2885,continent,continent:france,t0,error,3,france,0.3217501772409359,france paris europe algeria brittany brazil belgium italy
bert-base-uncased,159,The continent containing France is [MASK].,europe,2885,continent,continent:france,t1,error,105,uninhabited,0.180101781861769,uninhabited extinct french divided unknown disputed included france
bert-base-uncased,160,Germany is located in [MASK].,europe,2885,continent,continent:germany,t0,error,5,berlin,0.2225800095091135,berlin germany bavaria austria europe vienna saxony bonn
bert-base-uncased,161,The continent containing Germany is [MASK].,europe,2885,continent,continent:germany,t1,error,81,uninhabited,0.1247089427509385,uninhabited unknown divided extinct german large germany larger
bert-base-uncased,162,Spain is located in [MASK].,europe,2885,continent,continent:spain,t0,error,16,spain,0.1431777655212369,spain brazil mexico argentina portugal france peru madrid
bert-base-uncased,163,The continent containing Spain is [MASK].,europe,2885,continent,continent:spain,t1,error,75,uninhabited,0.1492337684317866,uninhabited disputed extinct unknown spanish divided uncertain small
bert-base-uncased,164,Poland is located in [MASK].,europe,2885,continent,continent:poland,t0,error,5,poland,0.3293382567891516,poland warsaw ukraine krakow europe lithuania berlin germany
bert-base-uncased,165,The continent containing Poland is [MASK].,europe,2885,continent,continent:poland,t1,error,148,uninhabited,0.2075757446965218,uninhabited divided extinct unknown disputed large german small
bert-base-uncased,166,China is located in [MASK].,asia,4021,continent,continent:china,t0,error,7,china,0.206115442775246,china beijing taiwan shanghai tibet xinjiang asia nanjing
bert-base-uncased,167,The continent containing China is [MASK].,asia,4021,continent,continent:china,t1,error,23,uninhabited,0.1722253534698654,uninhabited china unknown extinct disputed large asian antarctica
bert-base-uncased,168,Japan is located in [MASK].,asia,4021,continent,continent:japan,t0,error,5,japan,0.3291924370619485,japan tokyo hokkaido taiwan asia korea china kyoto
bert-base-uncased,169,The continent containing Japan is [MASK].,asia,4021,continent,continent:japan,t1,error,23,unknown,0.1809119992875703,unknown uninhabited antarctica china extinct large lost divided
bert-base-uncased,170,India is located in [MASK].,asia,4021,continent,continent:india,t0,error,20,india,0.2835886399019315,india goa punjab kerala kashmir mumbai pakistan bangalore
bert-base-uncased,171,The continent containing India is [MASK].,asia,4021,continent,continent:india,t1,error,8,india,0.1736088557269109,india disputed indian asian extinct antarctica unknown asia
bert-base-uncased,172,Thailand is located in [MASK].,asia,4021,continent,continent:thailand,t0,error,3,thailand,0.2546541375044538,thailand bangkok asia vietnam myanmar india cambodia afghanistan
bert-base-uncased,173,The continent containing Thailand is [MASK].,asia,4021,continent,continent:thailand,t1,error,11,disputed,0.2463529475607647,disputed asian uninhabited extinct unknown small china larger
bert-base-uncased,174,Egypt is located in [MASK].,africa,3088,continent,continent:egypt,t0,error,9,egypt,0.4383047364658632,egypt cairo sudan alexandria israel turkey rome france
bert-base-uncased,175,The continent containing Egypt is [MASK].,africa,3088,continent,continent:egypt,t1,error,44,unknown,0.1449948363201701,unknown destroyed lost egypt uninhabited egyptian enormous huge
