prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model,init_state
23,The language of Italy is [MASK].,factual_simple,language,factual_simple:79,extended,italian,3059.0,correct,italian,0.8938089769507027,1.0,bert-base-uncased,pretrained
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,advantages,0.049652959019710396,,bert-base-uncased,random_init
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,error,palermo,0.046660338119905866,9784.0,bert-base-uncased,random_init
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,palermo,0.05480719630637076,,bert-base-uncased,random_init
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,##wine,0.042839115352886696,5569.0,bert-base-uncased,random_init
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,error,palermo,0.04531701806984978,26353.0,bert-base-uncased,random_init
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,##wine,0.04256643999766409,,bert-base-uncased,random_init
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,error,palermo,0.04968853224704666,13533.0,bert-base-uncased,random_init
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,advantages,0.049316213953143166,3973.0,bert-base-uncased,random_init
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,advantages,0.046495924971237175,,bert-base-uncased,random_init
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,palermo,0.046426976623902494,14196.0,bert-base-uncased,random_init
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,palermo,0.04951752724425167,9634.0,bert-base-uncased,random_init
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,palermo,0.051503529328688694,,bert-base-uncased,random_init
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,error,palermo,0.04864021089677356,10652.0,bert-base-uncased,random_init
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,error,advantages,0.056509086615687515,26946.0,bert-base-uncased,random_init
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,palermo,0.043277537430552314,,bert-base-uncased,random_init
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,error,advantages,0.04120657158997691,13869.0,bert-base-uncased,random_init
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,kimball,0.04332781236411576,,bert-base-uncased,random_init
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,error,palermo,0.04040267995951661,26852.0,bert-base-uncased,random_init
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,advantages,0.04526498283364346,,bert-base-uncased,random_init
22,The plural of goose is [MASK].,factual_deep,plural,plural:goose,t0,geese,28519.0,error,advantages,0.044857390737508746,28417.0,bert-base-uncased,random_init
23,The language of Italy is [MASK].,factual_simple,language,factual_simple:79,extended,italian,3059.0,error,advantages,0.04903351750839867,6598.0,bert-base-uncased,random_init
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,club,0.1988533946719339,,google/bert_uncased_L-2_H-128_A-2,pretrained
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,error,australia,0.14316556150618734,4.0,google/bert_uncased_L-2_H-128_A-2,pretrained
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,night,0.0935974531083879,,google/bert_uncased_L-2_H-128_A-2,pretrained
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,it,0.19486005067586262,163.0,google/bert_uncased_L-2_H-128_A-2,pretrained
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,error,vertices,0.10902712810234605,37.0,google/bert_uncased_L-2_H-128_A-2,pretrained
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,air,0.2659234258670156,,google/bert_uncased_L-2_H-128_A-2,pretrained
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,error,moth,0.1780500373945473,7.0,google/bert_uncased_L-2_H-128_A-2,pretrained
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,hot,0.24165149726608895,5.0,google/bert_uncased_L-2_H-128_A-2,pretrained
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,table,0.09787772215195012,,google/bert_uncased_L-2_H-128_A-2,pretrained
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,two,0.08199065535260522,42.0,google/bert_uncased_L-2_H-128_A-2,pretrained
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,vegetarian,0.28425283879562907,22.0,google/bert_uncased_L-2_H-128_A-2,pretrained
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,day,0.11943812106552926,,google/bert_uncased_L-2_H-128_A-2,pretrained
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,error,professor,0.1309062570954085,2.0,google/bert_uncased_L-2_H-128_A-2,pretrained
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,error,belgium,0.1418649373174626,27.0,google/bert_uncased_L-2_H-128_A-2,pretrained
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,event,0.08471733833659635,,google/bert_uncased_L-2_H-128_A-2,pretrained
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,error,netherlands,0.20656871702077043,127.0,google/bert_uncased_L-2_H-128_A-2,pretrained
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,book,0.5287510291910701,,google/bert_uncased_L-2_H-128_A-2,pretrained
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,error,spain,0.41955520459558227,24.0,google/bert_uncased_L-2_H-128_A-2,pretrained
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,hospital,0.3005279455465063,,google/bert_uncased_L-2_H-128_A-2,pretrained
22,The plural of goose is [MASK].,factual_deep,plural,plural:goose,t0,geese,28519.0,error,white,0.12716466334068424,3410.0,google/bert_uncased_L-2_H-128_A-2,pretrained
23,The language of Italy is [MASK].,factual_simple,language,factual_simple:79,extended,italian,3059.0,error,italy,0.19424447925575056,3.0,google/bert_uncased_L-2_H-128_A-2,pretrained
0,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous_open:162,extended,,,ambiguous,##gu,0.037188233982839526,,google/bert_uncased_L-2_H-128_A-2,random_init
2,Fish usually swim in [MASK].,factual_simple,common,factual_simple:71,extended,water,2300.0,error,##崎,0.03507692412340301,10762.0,google/bert_uncased_L-2_H-128_A-2,random_init
3,Yesterday they carried the [MASK].,ambiguous_open,open,ambiguous_open:109,extended,,,ambiguous,##崎,0.03499340747659492,,google/bert_uncased_L-2_H-128_A-2,random_init
4,Hot has the opposite meaning of [MASK].,factual_deep,antonym,antonym:hot,t1,cold,3147.0,error,##յ,0.038932184013542766,13157.0,google/bert_uncased_L-2_H-128_A-2,random_init
5,A triangle has three [MASK].,factual_simple,math,factual_simple:49,extended,sides,3903.0,error,##崎,0.03497809569701461,17538.0,google/bert_uncased_L-2_H-128_A-2,random_init
6,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,##յ,0.03883083525836004,,google/bert_uncased_L-2_H-128_A-2,random_init
7,A rose is a [MASK].,factual_deep,common,common:rose,t0,flower,6546.0,error,##崎,0.03503245506369746,6728.0,google/bert_uncased_L-2_H-128_A-2,random_init
8,The opposite of hot is [MASK].,factual_simple,lexical,factual_simple:54,extended,cold,3147.0,error,##gu,0.03705165806175201,11437.0,google/bert_uncased_L-2_H-128_A-2,random_init
9,The person looked at the [MASK].,ambiguous_open,open,ambiguous_open:80,extended,,,ambiguous,##gu,0.037290911501023316,,google/bert_uncased_L-2_H-128_A-2,random_init
10,The sum of six and three is [MASK].,factual_deep,math,math:6+3,t1,nine,3157.0,error,pascal,0.03849123962435358,6081.0,google/bert_uncased_L-2_H-128_A-2,random_init
11,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,pascal,0.038407031663148586,3213.0,google/bert_uncased_L-2_H-128_A-2,random_init
12,Yesterday they needed the [MASK].,ambiguous_open,open,ambiguous_open:116,extended,,,ambiguous,##崎,0.03498450065845607,,google/bert_uncased_L-2_H-128_A-2,random_init
13,A person who studies science is a [MASK].,factual_deep,role,role:studies_science,t0,scientist,7155.0,error,pascal,0.03830808050771001,2107.0,google/bert_uncased_L-2_H-128_A-2,random_init
14,The capital of Belgium is [MASK].,factual_simple,capital,factual_simple:10,extended,brussels,9371.0,error,##gu,0.03714408189112895,24132.0,google/bert_uncased_L-2_H-128_A-2,random_init
15,The meeting was held in the [MASK].,ambiguous_open,open,ambiguous_open:151,extended,,,ambiguous,##յ,0.038728261454119284,,google/bert_uncased_L-2_H-128_A-2,random_init
16,The currency of Germany is the [MASK].,factual_deep,currency,currency:germany,t0,euro,9944.0,error,##յ,0.03882233382531429,4488.0,google/bert_uncased_L-2_H-128_A-2,random_init
18,She put the book on the [MASK].,ambiguous_open,open,ambiguous_open:153,extended,,,ambiguous,##յ,0.038825014002343436,,google/bert_uncased_L-2_H-128_A-2,random_init
19,Italy's capital city is [MASK].,factual_deep,capital,capital:italy,t1,rome,4199.0,error,##յ,0.03888716964645567,18229.0,google/bert_uncased_L-2_H-128_A-2,random_init
21,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,##gu,0.03719770764862246,,google/bert_uncased_L-2_H-128_A-2,random_init
22,The plural of goose is [MASK].,factual_deep,plural,plural:goose,t0,geese,28519.0,error,##gu,0.03706463443571583,12999.0,google/bert_uncased_L-2_H-128_A-2,random_init
23,The language of Italy is [MASK].,factual_simple,language,factual_simple:79,extended,italian,3059.0,error,##gu,0.03708322006694631,19121.0,google/bert_uncased_L-2_H-128_A-2,random_init
