subspace,k,layer,scalar_distance_z,rho_adjusted_abs_diff,left_prompt_id,right_prompt_id,left_condition,right_condition,left_rho_adjusted,right_rho_adjusted,left_prompt,right_prompt,left_target,right_target,left_final_top1,right_final_top1,left_entropy_topk,right_entropy_topk,left_varentropy_topk,right_varentropy_topk,left_top1_prob_topk_layer,right_top1_prob_topk_layer,left_trace_fim_full,right_trace_fim_full
state_pca,2,6,0.33025653692595675,0.9272701396812109,55,101,correct,correct,-0.6681573072620246,0.2591128324191862,Bulgaria's capital city is [MASK].,"In Tunisia, the capital city is [MASK].",sofia,tunis,sofia,tunis,0.128987436654931,0.172259479398363,0.4678275461103334,0.7453384386518813,0.975069405510716,0.9710422842533656,1.4308609039019045,1.2209404092784757
delta_forward_1d,1,5,0.23021059233842,0.9132603275669218,103,299,correct,error,0.726490534536066,-0.1867697930308557,Nepal's capital city is [MASK].,The detective Sherlock has surname [MASK].,kathmandu,holmes,kathmandu,watson,1.3431809717611247,1.385290178749092,3.7383710763469296,3.557899838682647,0.7627311944987342,0.7414897326808902,4.039753908833445,3.756446982093205
delta_forward_1d,1,5,0.3166825337568166,0.9115624969972979,102,299,correct,error,0.7247927039664421,-0.1867697930308557,The capital of Nepal is [MASK].,The detective Sherlock has surname [MASK].,kathmandu,holmes,kathmandu,watson,1.49824402549462,1.385290178749092,3.726969916138185,3.557899838682647,0.7251712564200191,0.7414897326808902,4.3445147117365455,3.756446982093205
state_pca,2,6,0.21726179870231074,0.9084322669390773,55,81,correct,correct,-0.6681573072620246,0.2402749596770527,Bulgaria's capital city is [MASK].,The capital of Thailand is [MASK].,sofia,bangkok,sofia,bangkok,0.128987436654931,0.0469423614402904,0.4678275461103334,0.3233693847076127,0.975069405510716,0.9945272570355288,1.4308609039019045,0.2254702492761055
state_pca,2,6,0.39158842238685154,0.9074043730461958,55,99,correct,correct,-0.6681573072620246,0.2392470657841712,Bulgaria's capital city is [MASK].,The capital of Tunisia is [MASK].,sofia,tunis,sofia,tunis,0.128987436654931,0.2336916976309913,0.4678275461103334,0.7792687771871059,0.975069405510716,0.952416761803124,1.4308609039019045,2.194504540191339
delta_pca,2,5,0.28239115005717813,0.907353938256141,35,40,correct,correct,-0.3596712419766287,0.5476826962795123,"In Belgium, the capital city is [MASK].",Norway's capital city is [MASK].,brussels,oslo,brussels,oslo,1.7218723180077022,1.8062273182099584,2.1584506087954853,2.355791822615929,0.5017117788438086,0.5014003377430867,5.074379868569703,5.5614980717202425
delta_forward_1d,1,5,0.3194592139117527,0.904616828392057,61,299,correct,error,0.7178470353612013,-0.1867697930308557,Croatia's capital city is [MASK].,The detective Sherlock has surname [MASK].,zagreb,holmes,zagreb,watson,1.4511230709955285,1.385290178749092,3.4999099332035617,3.557899838682647,0.7234955950106154,0.7414897326808902,4.582660083524781,3.756446982093205
delta_forward_1d,1,5,0.26143874582077026,0.9021778489087187,37,299,correct,error,0.7154080558778629,-0.1867697930308557,Finland's capital city is [MASK].,The detective Sherlock has surname [MASK].,helsinki,holmes,helsinki,watson,1.2781938267023265,1.385290178749092,3.346809926315834,3.557899838682647,0.7546572700918104,0.7414897326808902,3.754439479330702,3.756446982093205
delta_forward_1d,1,5,0.211086699101392,0.8987167020002004,66,198,correct,error,0.5828415606767308,-0.3158751413234696,The capital of Iran is [MASK].,Five minus two equals [MASK].,tehran,three,tehran,zero,2.1495842589091576,2.020917655981356,3.17379106499268,3.1480022545019573,0.5542049255373567,0.5753055122973791,5.94958743177054,6.048131927562477
state_pca,2,5,0.25597089214495633,0.8932561382848327,67,299,correct,error,0.4548888776725296,-0.4383672606123031,Iran's capital city is [MASK].,The detective Sherlock has surname [MASK].,tehran,holmes,tehran,watson,1.4823235034506723,1.385290178749092,3.682019939686573,3.557899838682647,0.7259541104708837,0.7414897326808902,4.227201485077062,3.756446982093205
delta_forward_1d,1,5,0.17606592532973175,0.8926937159326559,60,299,correct,error,0.7059239229018002,-0.1867697930308557,The capital of Croatia is [MASK].,The detective Sherlock has surname [MASK].,zagreb,holmes,zagreb,watson,1.3102007380674148,1.385290178749092,3.4359545679713284,3.557899838682647,0.7552573035584565,0.7414897326808902,3.634702779878409,3.756446982093205
state_pca,2,6,0.39446440359672885,0.8925136090154879,36,100,correct,correct,-0.6133665770532879,0.2791470319622001,The capital of Finland is [MASK].,Tunisia's capital city is [MASK].,helsinki,tunis,helsinki,tunis,0.0322690429097531,0.1112665452910119,0.2062751967276357,0.5298520031659588,0.995977952300793,0.9826110917176668,0.1773340193085786,0.8706555152478108
delta_forward_1d,1,5,0.33226321996024155,0.8906860453674947,52,141,correct,error,0.782311163483173,-0.1083748818843218,Romania's capital city is [MASK].,The continent containing France is [MASK].,bucharest,europe,bucharest,belgium,2.824014691049596,2.907714371020316,1.5948086845371077,1.364401017721107,0.3090925179906229,0.2697859244195787,9.15548790447794,8.804489097661747
delta_forward_1d,1,5,0.3289171600986752,0.8899978972953737,52,280,correct,error,0.782311163483173,-0.1076867338122007,Romania's capital city is [MASK].,A shark is a [MASK].,bucharest,fish,bucharest,predator,2.824014691049596,2.794476196930558,1.5948086845371077,1.53133946772031,0.3090925179906229,0.2640067211121159,9.15548790447794,9.861786758108275
delta_forward_1d,1,5,0.19882761637145993,0.8893841050064559,19,198,correct,error,0.5735089636829863,-0.3158751413234696,Russia's capital city is [MASK].,Five minus two equals [MASK].,moscow,three,moscow,zero,1.9522360097174136,2.020917655981356,3.201013747741232,3.1480022545019573,0.590175159024959,0.5753055122973791,5.616330621485608,6.048131927562477
delta_forward_1d,1,5,0.1930986868325759,0.8872588854508889,52,147,correct,error,0.782311163483173,-0.104947721967716,Romania's capital city is [MASK].,The continent containing Poland is [MASK].,bucharest,europe,bucharest,disputed,2.824014691049596,2.778844074049513,1.5948086845371077,1.5838894589223975,0.3090925179906229,0.2731278868264706,9.15548790447794,8.924466702723976
state_pca,2,6,0.24091486118242933,0.886860625779678,38,81,correct,correct,-0.6465856661026252,0.2402749596770527,"In Finland, the capital city is [MASK].",The capital of Thailand is [MASK].,helsinki,bangkok,helsinki,bangkok,0.0168312519279726,0.0469423614402904,0.1208444627249098,0.3233693847076127,0.998083769927982,0.9945272570355288,0.0823413916242284,0.2254702492761055
state_pca,2,6,0.007269779002310944,0.8722048483070024,38,82,correct,correct,-0.6465856661026252,0.2256191822043771,"In Finland, the capital city is [MASK].",Thailand's capital city is [MASK].,helsinki,bangkok,helsinki,bangkok,0.0168312519279726,0.0152615998260161,0.1208444627249098,0.1267022584329554,0.998083769927982,0.9984808926025648,0.0823413916242284,0.0673722704464838
state_pca,2,6,0.11245282288884274,0.8627063974754188,55,294,correct,correct,-0.6681573072620246,0.1945490902133942,Bulgaria's capital city is [MASK].,Isaac [MASK] described gravity.,sofia,newton,sofia,newton,0.128987436654931,0.0717947842517861,0.4678275461103334,0.5074015380116517,0.975069405510716,0.9919734072776052,1.4308609039019045,0.5414934045558868
state_pca,1,5,0.26143874582077026,0.8621422008437972,37,299,correct,error,0.6120276904091417,-0.2501145104346555,Finland's capital city is [MASK].,The detective Sherlock has surname [MASK].,helsinki,holmes,helsinki,watson,1.2781938267023265,1.385290178749092,3.346809926315834,3.557899838682647,0.7546572700918104,0.7414897326808902,3.754439479330702,3.756446982093205
state_pca,2,5,0.3321709634359424,0.8617017081961715,71,198,correct,error,0.4229653455257171,-0.4387363626704544,"In Iraq, the capital city is [MASK].",Five minus two equals [MASK].,baghdad,three,baghdad,zero,1.9523333327705668,2.020917655981356,3.315444425876494,3.1480022545019573,0.5990841921755921,0.5753055122973791,5.329919311383125,6.048131927562477
state_pca,2,6,0.1206203688943571,0.8552437499886997,55,58,correct,correct,-0.6681573072620246,0.1870864427266751,Bulgaria's capital city is [MASK].,Serbia's capital city is [MASK].,sofia,belgrade,sofia,belgrade,0.128987436654931,0.0857158239308244,0.4678275461103334,0.5299434193859707,0.975069405510716,0.989150325530394,1.4308609039019045,0.4529090311152554
state_pca,1,5,0.25597089214495633,0.8538781073818124,67,299,correct,error,0.6037635969471569,-0.2501145104346555,Iran's capital city is [MASK].,The detective Sherlock has surname [MASK].,tehran,holmes,tehran,watson,1.4823235034506723,1.385290178749092,3.682019939686573,3.557899838682647,0.7259541104708837,0.7414897326808902,4.227201485077062,3.756446982093205
state_pca,2,6,0.13883944379872756,0.8536415367303406,36,81,correct,correct,-0.6133665770532879,0.2402749596770527,The capital of Finland is [MASK].,The capital of Thailand is [MASK].,helsinki,bangkok,helsinki,bangkok,0.0322690429097531,0.0469423614402904,0.2062751967276357,0.3233693847076127,0.995977952300793,0.9945272570355288,0.1773340193085786,0.2254702492761055
state_pca,2,6,0.09443942486181758,0.8477976503050046,38,103,correct,correct,-0.6465856661026252,0.2012119842023794,"In Finland, the capital city is [MASK].",Nepal's capital city is [MASK].,helsinki,kathmandu,helsinki,kathmandu,0.0168312519279726,0.0043835971885198,0.1208444627249098,0.0415579763566455,0.998083769927982,0.9996083948433384,0.0823413916242284,0.0186289417961555
state_pca,2,6,0.3559292663298918,0.8420158040251442,55,88,correct,correct,-0.6681573072620246,0.1738584967631196,Bulgaria's capital city is [MASK].,Peru's capital city is [MASK].,sofia,lima,sofia,lima,0.128987436654931,0.0278121787463547,0.4678275461103334,0.1946848835044058,0.975069405510716,0.996776286747857,1.4308609039019045,0.1729127120421009
state_pca,2,6,0.09585288949193074,0.838985759257665,36,82,correct,correct,-0.6133665770532879,0.2256191822043771,The capital of Finland is [MASK].,Thailand's capital city is [MASK].,helsinki,bangkok,helsinki,bangkok,0.0322690429097531,0.0152615998260161,0.2062751967276357,0.1267022584329554,0.995977952300793,0.9984808926025648,0.1773340193085786,0.0673722704464838
state_pca,2,5,0.26143874582077026,0.836000517661813,37,299,correct,error,0.3976332570495099,-0.4383672606123031,Finland's capital city is [MASK].,The detective Sherlock has surname [MASK].,helsinki,holmes,helsinki,watson,1.2781938267023265,1.385290178749092,3.346809926315834,3.557899838682647,0.7546572700918104,0.7414897326808902,3.754439479330702,3.756446982093205
state_pca,2,6,0.10311564259049981,0.8359668057949349,55,83,correct,correct,-0.6681573072620246,0.1678094985329103,Bulgaria's capital city is [MASK].,"In Thailand, the capital city is [MASK].",sofia,bangkok,sofia,bangkok,0.128987436654931,0.0763192722931351,0.4678275461103334,0.4855619447895624,0.975069405510716,0.990505911782851,1.4308609039019045,0.4739194294124269
state_pca,2,6,0.30131717077911263,0.8339220043250108,93,101,correct,correct,-0.5748091719058247,0.2591128324191862,The capital of Cuba is [MASK].,"In Tunisia, the capital city is [MASK].",havana,tunis,havana,tunis,0.2702543509318031,0.172259479398363,0.9672092806416032,0.7453384386518813,0.9492998135883346,0.9710422842533656,2.472216432849748,1.2209404092784757
delta_pca,1,5,0.06397096079374696,0.8301887590877833,67,102,correct,correct,0.6001914734897085,-0.2299972855980749,Iran's capital city is [MASK].,The capital of Nepal is [MASK].,tehran,kathmandu,tehran,kathmandu,1.4823235034506723,1.49824402549462,3.682019939686573,3.726969916138185,0.7259541104708837,0.7251712564200191,4.227201485077062,4.3445147117365455
state_pca,1,5,0.15929713604575027,0.8261078654967101,85,198,correct,error,0.5455774157044433,-0.2805304497922668,Vietnam's capital city is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,2.040745452775001,2.020917655981356,3.233860070957082,3.1480022545019573,0.5703138634454517,0.5753055122973791,6.423162994692248,6.048131927562477
delta_pca,1,5,0.25597089214495633,0.8252182973213942,67,299,correct,error,0.6001914734897085,-0.2250268238316857,Iran's capital city is [MASK].,The detective Sherlock has surname [MASK].,tehran,holmes,tehran,watson,1.4823235034506723,1.385290178749092,3.682019939686573,3.557899838682647,0.7259541104708837,0.7414897326808902,4.227201485077062,3.756446982093205
state_pca,1,5,0.3323721431974688,0.8222327412539379,50,198,correct,error,0.541702291461671,-0.2805304497922668,"In Hungary, the capital city is [MASK].",Five minus two equals [MASK].,budapest,three,budapest,zero,1.9919319213891948,2.020917655981356,3.300904812152489,3.1480022545019573,0.5875710692775493,0.5753055122973791,5.219824414081144,6.048131927562477
state_pca,2,6,0.08801282604510076,0.8204441628657448,38,88,correct,correct,-0.6465856661026252,0.1738584967631196,"In Finland, the capital city is [MASK].",Peru's capital city is [MASK].,helsinki,lima,helsinki,lima,0.0168312519279726,0.0278121787463547,0.1208444627249098,0.1946848835044058,0.998083769927982,0.996776286747857,0.0823413916242284,0.1729127120421009
state_pca,2,6,0.19663692406316724,0.8145785612556673,36,103,correct,correct,-0.6133665770532879,0.2012119842023794,The capital of Finland is [MASK].,Nepal's capital city is [MASK].,helsinki,kathmandu,helsinki,kathmandu,0.0322690429097531,0.0043835971885198,0.2062751967276357,0.0415579763566455,0.995977952300793,0.9996083948433384,0.1773340193085786,0.0186289417961555
state_pca,2,6,0.22534773847634892,0.8140562376899959,93,99,correct,correct,-0.5748091719058247,0.2392470657841712,The capital of Cuba is [MASK].,The capital of Tunisia is [MASK].,havana,tunis,havana,tunis,0.2702543509318031,0.2336916976309913,0.9672092806416032,0.7792687771871059,0.9492998135883346,0.952416761803124,2.472216432849748,2.194504540191339
state_pca,1,5,0.32530872145381307,0.809040482860943,68,185,correct,error,0.5590299601565666,-0.2500105227043764,"In Iran, the capital city is [MASK].",[MASK] is often called the red planet.,tehran,mars,tehran,pluto,1.960149987001503,1.7797465045492609,3.385607932895263,3.321195362228334,0.6035367218081067,0.6354036272690978,5.226131257635846,4.875382250574562
state_pca,2,6,0.35816150049109047,0.8079156672666821,36,294,correct,correct,-0.6133665770532879,0.1945490902133942,The capital of Finland is [MASK].,Isaac [MASK] described gravity.,helsinki,newton,helsinki,newton,0.0322690429097531,0.0717947842517861,0.2062751967276357,0.5074015380116517,0.995977952300793,0.9919734072776052,0.1773340193085786,0.5414934045558868
state_pca,2,6,0.16607509000146908,0.8022991601866734,60,100,correct,correct,-0.5231521282244732,0.2791470319622001,The capital of Croatia is [MASK].,Tunisia's capital city is [MASK].,zagreb,tunis,zagreb,tunis,0.1816283644969305,0.1112665452910119,0.6145358159052745,0.5298520031659588,0.9630625887994584,0.9826110917176668,2.142483552634188,0.8706555152478108
state_pca,1,5,0.3321709634359424,0.8022225404329177,71,198,correct,error,0.5216920906406509,-0.2805304497922668,"In Iraq, the capital city is [MASK].",Five minus two equals [MASK].,baghdad,three,baghdad,zero,1.9523333327705668,2.020917655981356,3.315444425876494,3.1480022545019573,0.5990841921755921,0.5753055122973791,5.329919311383125,6.048131927562477
delta_pca,1,5,0.23785872112056855,0.7903518886385011,67,104,correct,correct,0.6001914734897085,-0.1901604151487927,Iran's capital city is [MASK].,"In Nepal, the capital city is [MASK].",tehran,kathmandu,tehran,kathmandu,1.4823235034506723,1.6074524819423384,3.682019939686573,3.783355146101601,0.7259541104708837,0.7037024609695673,4.227201485077062,4.430681298233545
delta_pca,1,5,0.26143874582077026,0.7881442710752067,37,299,correct,error,0.563117447243521,-0.2250268238316857,Finland's capital city is [MASK].,The detective Sherlock has surname [MASK].,helsinki,holmes,helsinki,watson,1.2781938267023265,1.385290178749092,3.346809926315834,3.557899838682647,0.7546572700918104,0.7414897326808902,3.754439479330702,3.756446982093205
state_pca,1,6,0.1815568948523606,0.7847741117059024,52,60,correct,correct,0.2668666122392331,-0.5179074994666694,Romania's capital city is [MASK].,The capital of Croatia is [MASK].,bucharest,zagreb,bucharest,zagreb,0.0861766907246457,0.1816283644969305,0.5781543629968566,0.6145358159052745,0.9899270116849778,0.9630625887994584,0.4972887188037174,2.142483552634188
state_pca,2,5,0.211086699101392,0.7833154318226787,66,198,correct,error,0.3445790691522243,-0.4387363626704544,The capital of Iran is [MASK].,Five minus two equals [MASK].,tehran,three,tehran,zero,2.1495842589091576,2.020917655981356,3.17379106499268,3.1480022545019573,0.5542049255373567,0.5753055122973791,5.94958743177054,6.048131927562477
delta_pca,2,5,0.3321709634359424,0.7777021980495331,71,198,correct,error,0.3688660827420123,-0.4088361153075208,"In Iraq, the capital city is [MASK].",Five minus two equals [MASK].,baghdad,three,baghdad,zero,1.9523333327705668,2.020917655981356,3.315444425876494,3.1480022545019573,0.5990841921755921,0.5753055122973791,5.329919311383125,6.048131927562477
state_pca,1,5,0.3194592139117527,0.7754765582468157,61,299,correct,error,0.5253620478121602,-0.2501145104346555,Croatia's capital city is [MASK].,The detective Sherlock has surname [MASK].,zagreb,holmes,zagreb,watson,1.4511230709955285,1.385290178749092,3.4999099332035617,3.557899838682647,0.7234955950106154,0.7414897326808902,4.582660083524781,3.756446982093205
state_pca,1,5,0.33590269468560724,0.7717026133450273,71,185,correct,error,0.5216920906406509,-0.2500105227043764,"In Iraq, the capital city is [MASK].",[MASK] is often called the red planet.,baghdad,mars,baghdad,pluto,1.9523333327705668,1.7797465045492609,3.315444425876494,3.321195362228334,0.5990841921755921,0.6354036272690978,5.329919311383125,4.875382250574562
state_pca,2,5,0.23021059233842,0.7707722893908433,103,299,correct,error,0.3324050287785403,-0.4383672606123031,Nepal's capital city is [MASK].,The detective Sherlock has surname [MASK].,kathmandu,holmes,kathmandu,watson,1.3431809717611247,1.385290178749092,3.7383710763469296,3.557899838682647,0.7627311944987342,0.7414897326808902,4.039753908833445,3.756446982093205
state_pca,2,5,0.3323721431974688,0.7705381477792379,50,198,correct,error,0.3318017851087835,-0.4387363626704544,"In Hungary, the capital city is [MASK].",Five minus two equals [MASK].,budapest,three,budapest,zero,1.9919319213891948,2.020917655981356,3.300904812152489,3.1480022545019573,0.5875710692775493,0.5753055122973791,5.219824414081144,6.048131927562477
state_pca,1,6,0.1607783302978465,0.770071076629107,52,55,correct,correct,0.2668666122392331,-0.5032044643898739,Romania's capital city is [MASK].,Bulgaria's capital city is [MASK].,bucharest,sofia,bucharest,sofia,0.0861766907246457,0.128987436654931,0.5781543629968566,0.4678275461103334,0.9899270116849778,0.975069405510716,0.4972887188037174,1.4308609039019045
delta_pca,1,5,0.3323721431974688,0.7650275283675627,50,198,correct,error,0.5296658571439639,-0.2353616712235988,"In Hungary, the capital city is [MASK].",Five minus two equals [MASK].,budapest,three,budapest,zero,1.9919319213891948,2.020917655981356,3.300904812152489,3.1480022545019573,0.5875710692775493,0.5753055122973791,5.219824414081144,6.048131927562477
state_pca,2,5,0.28239115005717813,0.7642619237088546,35,40,correct,correct,-0.3473823375779584,0.4168795861308962,"In Belgium, the capital city is [MASK].",Norway's capital city is [MASK].,brussels,oslo,brussels,oslo,1.7218723180077022,1.8062273182099584,2.1584506087954853,2.355791822615929,0.5017117788438086,0.5014003377430867,5.074379868569703,5.5614980717202425
state_pca,2,5,0.15929713604575027,0.758585407412703,85,198,correct,error,0.3198490447422486,-0.4387363626704544,Vietnam's capital city is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,2.040745452775001,2.020917655981356,3.233860070957082,3.1480022545019573,0.5703138634454517,0.5753055122973791,6.423162994692248,6.048131927562477
delta_pca,1,5,0.326547075119908,0.7572772566018927,49,104,correct,correct,0.5671168414531,-0.1901604151487927,Hungary's capital city is [MASK].,"In Nepal, the capital city is [MASK].",budapest,kathmandu,budapest,kathmandu,1.588941971689374,1.6074524819423384,3.464204195315652,3.783355146101601,0.6807979784968918,0.7037024609695673,4.379257707726645,4.430681298233545
state_pca,2,5,0.2555448089774914,0.7561066483777511,70,96,correct,correct,0.4284861858657141,-0.327620462512037,Iraq's capital city is [MASK].,The capital of Jamaica is [MASK].,baghdad,kingston,baghdad,kingston,1.685664987838433,1.6405444137778655,3.5922279628632143,3.3924606892557114,0.6740485897262751,0.665124681743153,5.081439154776363,5.509114809402311
state_pca,2,5,0.32247750920713397,0.7434213674736285,84,198,correct,error,0.3046850048031741,-0.4387363626704544,The capital of Vietnam is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,1.9143826374433897,2.020917655981356,3.356018157032903,3.1480022545019573,0.6018784945092926,0.5753055122973791,5.585555257983533,6.048131927562477
state_pca,8,6,0.2919936620768434,0.7419441695310798,150,233,error,error,0.2779875853759584,-0.4639565841551213,Japan is located in [MASK].,More than one child are called [MASK].,asia,children,taiwan,twins,3.188743218632004,3.0920171135221257,0.6775817736115379,0.8067032861049275,0.1791815114075444,0.1689380882069321,25.747273292160266,28.827473684214283
state_pca,1,6,0.37940012131959583,0.7383346111730288,52,85,correct,correct,0.2668666122392331,-0.4714679989337957,Romania's capital city is [MASK].,Vietnam's capital city is [MASK].,bucharest,hanoi,bucharest,hanoi,0.0861766907246457,0.2990547810555712,0.5781543629968566,0.7408780224843867,0.9899270116849778,0.9284395258810318,0.4972887188037174,2.6208695402218285
state_pca,1,6,0.35710433550567694,0.7364506311508277,63,73,correct,correct,-0.2970336707360604,0.4394169604147672,The capital of Turkey is [MASK].,Syria's capital city is [MASK].,ankara,damascus,ankara,damascus,0.6628117047811065,0.6900960109802778,0.8244410327818663,0.5716887539905691,0.7463337875302211,0.6887729892240348,7.041444545710711,7.379945611867821
delta_pca,1,5,0.2428480147607845,0.7333938919925853,86,120,correct,error,0.4544937677245361,-0.2789001242680493,"In Vietnam, the capital city is [MASK].",The language of China is [MASK].,hanoi,chinese,hanoi,mandarin,2.228413050719751,2.087057896924513,3.053272016110731,2.920001071436639,0.526910238967641,0.5363653198735326,6.088645657146751,6.0775285643644565
state_pca,1,5,0.3016121559561723,0.730660319124707,22,313,correct,error,0.5457084076025955,-0.1849519115221115,Egypt's capital city is [MASK].,[MASK] is where fish swim.,cairo,water,cairo,this,2.2178633791438824,2.1698142976805883,2.6475275760843484,2.571028854833866,0.459478209247433,0.4542106324438593,7.453382085238683,6.643272418338796
state_pca,1,6,0.3116502630094929,0.7305359653494854,79,85,correct,correct,0.2590679664156897,-0.4714679989337957,Lebanon's capital city is [MASK].,Vietnam's capital city is [MASK].,beirut,hanoi,beirut,hanoi,0.246613020072871,0.2990547810555712,0.9892998978560348,0.7408780224843867,0.9564266379685984,0.9284395258810318,2.470516262056254,2.6208695402218285
delta_pca,2,5,0.211086699101392,0.7280290923308792,66,198,correct,error,0.3191929770233584,-0.4088361153075208,The capital of Iran is [MASK].,Five minus two equals [MASK].,tehran,three,tehran,zero,2.1495842589091576,2.020917655981356,3.17379106499268,3.1480022545019573,0.5542049255373567,0.5753055122973791,5.94958743177054,6.048131927562477
delta_pca,2,5,0.3323721431974688,0.7279388055692424,50,198,correct,error,0.3191026902617216,-0.4088361153075208,"In Hungary, the capital city is [MASK].",Five minus two equals [MASK].,budapest,three,budapest,zero,1.9919319213891948,2.020917655981356,3.300904812152489,3.1480022545019573,0.5875710692775493,0.5753055122973791,5.219824414081144,6.048131927562477
delta_pca,1,5,0.15929713604575027,0.7275153210535743,85,198,correct,error,0.4921536498299755,-0.2353616712235988,Vietnam's capital city is [MASK].,Five minus two equals [MASK].,hanoi,three,hanoi,zero,2.040745452775001,2.020917655981356,3.233860070957082,3.1480022545019573,0.5703138634454517,0.5753055122973791,6.423162994692248,6.048131927562477
state_pca,1,5,0.3381016366301101,0.7269062077960091,96,101,correct,correct,-0.1265234048197199,0.6003828029762892,The capital of Jamaica is [MASK].,"In Tunisia, the capital city is [MASK].",kingston,tunis,kingston,tunis,1.6405444137778655,1.540086746623349,3.3924606892557114,3.2667879934739625,0.665124681743153,0.6781872040720868,5.509114809402311,4.722838305453369
delta_pca,2,5,0.30953226575258935,0.7233637929957901,40,43,correct,correct,0.5476826962795123,-0.1756810967162779,Norway's capital city is [MASK].,Sweden's capital city is [MASK].,oslo,stockholm,oslo,stockholm,1.8062273182099584,1.976863268470905,2.355791822615929,2.4371625310243723,0.5014003377430867,0.4812234470086129,5.5614980717202425,5.1358353650111495
