model,prompt_id,prompt,target,task,topic,layer,subspace_family,subspace_k,rep,route_role,rho,fisher_output_energy,latent_step_norm,calibration_policy,clean_correct,clean_confidence,clean_target_prob,clean_nll,clean_brier,after_correct,after_confidence,after_target_prob,after_nll,after_brier,delta_confidence,delta_target_prob,delta_nll,delta_brier,accuracy_changed,accuracy_loss,full_vocab_kl,full_vocab_l1,full_vocab_top10_jaccard,full_vocab_top5_jaccard
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,4,delta_pca,8,0,low_rho_route,0.2636662722662732,0.05,0.6076368794035706,correct_decrease_entropy_error_increase_entropy,0,0.008084710063420156,0.0023425775263163176,6.056503448853422,0.9958930942764951,0,0.007369638359673026,0.0023085391197785183,6.0711403701878774,0.995949854595662,-0.0007150717037471303,-3.403840653779921e-05,0.014636921334455266,5.676031916690416e-05,0,0,0.0024566758467607,0.05513443112885323,0.8181818181818182,1.0
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,6,random,8,0,random_route,0.8367067782038909,0.05,2.527873653623633,correct_decrease_entropy_error_increase_entropy,1,0.6980086337652032,0.6980086337652032,0.35952380700514164,0.1744363002056477,1,0.7076403847668421,0.7076403847668421,0.345819245449406,0.1642355514594549,0.009631751001638933,0.009631751001638933,-0.013704561555735628,-0.010200748746192811,0,0,0.0007503197899805668,0.020354297621076392,1.0,0.42857142857142855
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,2,state_pca,8,0,high_rho_route,0.5789032986582353,0.05,0.3481507858379092,correct_decrease_entropy_error_increase_entropy,0,0.010427649160619404,0.0005587730884205708,7.489767091332139,0.9996593425749772,0,0.00913564292865775,0.0005216001305650189,7.558609297035492,0.9996553088245006,-0.001292006231961653,-3.717295785555196e-05,0.06884220570335309,-4.033750476639675e-06,0,0,0.002405951804785796,0.05434233761017447,0.8181818181818182,1.0
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,6,state_pca,8,0,low_rho_route,0.2388857898442809,0.05,0.2452185676158492,correct_decrease_entropy_error_increase_entropy,1,0.09878778559014825,0.09878778559014825,2.3147813095009186,0.822409104769827,1,0.10303471064205533,0.10303471064205533,2.272689350998267,0.814934463922687,0.0042469250519070745,0.0042469250519070745,-0.04209195850265157,-0.007474640847140002,0,0,0.0018529253564495449,0.04890836540176774,1.0,1.0
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,6,random,8,0,random_route,0.6738632037474808,0.05,0.20537299071421206,correct_decrease_entropy_error_increase_entropy,1,0.09878778559014825,0.09878778559014825,2.3147813095009186,0.822409104769827,1,0.10524705666902132,0.10524705666902132,2.251444771950618,0.8117418953542216,0.006459271078873063,0.006459271078873063,-0.06333653755030078,-0.010667209415605394,0,0,0.0014276401196730978,0.044077097390661416,1.0,1.0
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,2,delta_pca,8,0,high_rho_route,0.9150221638174206,0.05,0.18248099396761003,correct_decrease_entropy_error_increase_entropy,0,0.07124570293280756,4.282176457740442e-05,10.058464066464413,1.0056426942226533,0,0.06363384079450896,4.49936792758926e-05,10.00898853859518,1.0045817849920973,-0.007611862138298606,2.17191469848818e-06,-0.049475527869233815,-0.0010609092305560175,0,0,0.000984788266512611,0.03325647990641972,1.0,1.0
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,6,delta_pca,8,0,low_rho_route,0.7181953864980734,0.05,0.27461739668145135,correct_decrease_entropy_error_increase_entropy,0,0.25604230440828074,0.0468064909711062,3.061733389712124,1.0135317126754748,0,0.23815312959976281,0.047650024529513495,3.0438721340968855,1.0005170153200829,-0.017889174808517927,0.0008435335584072931,-0.017861255615238658,-0.013014697355391958,0,0,0.0024577626185028206,0.05627242137344046,1.0,1.0
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,2,random,8,0,random_route,0.868280582901046,0.05,0.2997074734186882,correct_decrease_entropy_error_increase_entropy,0,0.07124570293280756,4.282176457740442e-05,10.058464066464413,1.0056426942226533,0,0.06524219955430077,4.4340493705499496e-05,10.02361221929819,1.0048089650860208,-0.006003503378506789,1.5187291280950737e-06,-0.03485184716622314,-0.0008337291366324884,0,0,0.0016748559098683482,0.046702914579532,1.0,1.0
distilbert-base-uncased,10,The capital of Pakistan is [MASK].,islamabad,factual_deep,capital,6,delta_pca,8,0,high_rho_route,0.9480175979324658,0.05,1.0834457799776838,correct_decrease_entropy_error_increase_entropy,1,0.5722755706655154,0.5722755706655154,0.5581346367169977,0.2643158918421957,1,0.5903118098528262,0.5903118098528262,0.5271043904087261,0.2451921421993305,0.018036239187310787,0.018036239187310787,-0.03103024630827156,-0.01912374964286523,0,0,0.001220736233406624,0.036212754252781774,1.0,1.0
distilbert-base-uncased,10,The capital of Pakistan is [MASK].,islamabad,factual_deep,capital,4,delta_pca,8,0,low_rho_route,0.34282603315056254,0.05,0.5962938771031505,correct_decrease_entropy_error_increase_entropy,0,0.006723848288983604,0.0007811759280657416,7.154710173484463,0.9990693989269489,0,0.006293061943898739,0.0007081828566880481,7.252808225458806,0.9991907310532447,-0.00043078634508486504,-7.299307137769351e-05,0.09809805197434329,0.00012133212629583667,0,0,0.0026612737622540876,0.05750391847994006,1.0,1.0
distilbert-base-uncased,10,The capital of Pakistan is [MASK].,islamabad,factual_deep,capital,6,random,8,0,random_route,0.8573717512571815,0.05,1.5417953516487717,correct_decrease_entropy_error_increase_entropy,1,0.5722755706655154,0.5722755706655154,0.5581346367169977,0.2643158918421957,1,0.5877706573805173,0.5877706573805173,0.5314184456368063,0.2476865205175648,0.015495086715001882,0.015495086715001882,-0.02671619108019141,-0.016629371324630937,0,0,0.0008910415174915639,0.031466713387461286,1.0,1.0
distilbert-base-uncased,11,A person who drives a bus is a [MASK].,driver,factual_simple,role,6,state_pca,8,0,high_rho_route,0.7906058143929963,0.05,0.19219552953398863,correct_decrease_entropy_error_increase_entropy,1,0.1834961337605827,0.1834961337605827,1.695561681134093,0.6771290379652092,1,0.20163656440490677,0.20163656440490677,1.6012883881745799,0.6481782499243924,0.01814043064432405,0.01814043064432405,-0.09427329295951314,-0.028950788040816744,0,0,0.0022732160848442894,0.052019253296619605,1.0,1.0
distilbert-base-uncased,11,A person who drives a bus is a [MASK].,driver,factual_simple,role,4,state_pca,8,0,low_rho_route,0.45896153081563207,0.05,0.5531175915197714,correct_decrease_entropy_error_increase_entropy,0,0.016616248448381034,0.00047892138120431854,7.6439741051217975,1.001116981684808,0,0.01499475705274117,0.00045981505338439334,7.68468620718808,1.000998448777419,-0.0016214913956398638,-1.9106327819925193e-05,0.04071210206628262,-0.00011853290738894628,0,0,0.0026600822810620454,0.057667164811586354,0.8181818181818182,1.0
distilbert-base-uncased,11,A person who drives a bus is a [MASK].,driver,factual_simple,role,6,random,8,0,random_route,0.32358428997585825,0.05,0.20991181851000465,correct_decrease_entropy_error_increase_entropy,1,0.1834961337605827,0.1834961337605827,1.695561681134093,0.6771290379652092,1,0.1959295571924628,0.1959295571924628,1.6300000864312973,0.6567363103837428,0.012433423431880086,0.012433423431880086,-0.06556159470279566,-0.020392727581466374,0,0,0.0015132444430758008,0.04603194962753956,1.0,1.0
distilbert-base-uncased,14,The opposite of day is [MASK].,night,factual_simple,lexical,2,state_pca,8,0,high_rho_route,0.5134144803453857,0.05,0.38805311176965973,correct_decrease_entropy_error_increase_entropy,0,0.0097391302931368,1.8937326214359817e-06,13.176960744530321,1.000728619771935,0,0.008312591620931446,2.151449191487402e-06,13.049368900337075,1.0006311904374352,-0.0014265386722053536,2.5771657005142025e-07,-0.12759184419324576,-9.742933449974345e-05,0,0,0.0028887831124964156,0.06058864105439693,1.0,0.6666666666666666
distilbert-base-uncased,14,The opposite of day is [MASK].,night,factual_simple,lexical,2,delta_pca,8,0,low_rho_route,0.1777701120769019,0.05,0.33928162057839667,correct_decrease_entropy_error_increase_entropy,0,0.0097391302931368,1.8937326214359817e-06,13.176960744530321,1.000728619771935,0,0.008864534403986947,1.9055599725626805e-06,13.170734643728307,1.0006808142281984,-0.0008745958891498533,1.1827351126698811e-08,-0.00622610080201369,-4.7805543736512135e-05,0,0,0.001999247770179314,0.04945055083395082,0.8181818181818182,0.6666666666666666
distilbert-base-uncased,14,The opposite of day is [MASK].,night,factual_simple,lexical,6,random,8,0,random_route,0.6505442027668035,0.05,0.23228788720904175,correct_decrease_entropy_error_increase_entropy,0,0.027662921650300553,0.015483832755045513,4.167958847471702,0.9727576716119327,0,0.024451875496374217,0.014758804847811707,4.21591543545873,0.9739549179049009,-0.0032110461539263356,-0.0007250279072338068,0.047956587987028065,0.001197246292968135,0,0,0.0014905650166006483,0.04281601782806511,1.0,1.0
distilbert-base-uncased,16,Black has the opposite meaning of [MASK].,white,factual_deep,antonym,6,state_pca,8,0,high_rho_route,0.6620553976794255,0.05,0.30003688599297024,correct_decrease_entropy_error_increase_entropy,0,0.15881154824689822,0.05022259598801373,2.991290234274607,0.9329920660796891,0,0.14859400095935044,0.048824821743650076,3.0195164531497647,0.9326277188870591,-0.010217547287547785,-0.0013977742443636518,0.028226218875157638,-0.00036434719263001014,0,0,0.002986220936924239,0.05953091663362383,1.0,1.0
distilbert-base-uncased,16,Black has the opposite meaning of [MASK].,white,factual_deep,antonym,6,delta_pca,8,0,low_rho_route,0.2819122726826017,0.05,0.5208515728081592,correct_decrease_entropy_error_increase_entropy,0,0.15881154824689822,0.05022259598801373,2.991290234274607,0.9329920660796891,0,0.15535019496618319,0.051110889102642436,2.9737577104886017,0.9307081275328574,-0.003461353280715035,0.0008882931146287076,-0.01753252378600534,-0.002283938546831732,0,0,0.005244999309703972,0.07413992151421879,0.8181818181818182,1.0
distilbert-base-uncased,16,Black has the opposite meaning of [MASK].,white,factual_deep,antonym,6,random,8,0,random_route,0.8130089132827042,0.05,0.21752123347345512,correct_decrease_entropy_error_increase_entropy,0,0.15881154824689822,0.05022259598801373,2.991290234274607,0.9329920660796891,0,0.14444855897098524,0.048858394264892815,3.0188290776939506,0.9309363137731176,-0.01436298927591298,-0.0013642017231209128,0.02753884341934354,-0.002055752306571512,0,0,0.0019225708030137982,0.05133430101674398,1.0,1.0
distilbert-base-uncased,17,The capital of Chile is [MASK].,santiago,factual_simple,capital,6,delta_pca,8,0,high_rho_route,0.9846538009296785,0.05,0.8721804483436761,correct_decrease_entropy_error_increase_entropy,1,0.8475446975217239,0.8475446975217239,0.1654117006796475,0.04388771472804165,1,0.8639431020857874,0.8639431020857874,0.14624836641393144,0.035470425419487084,0.016398404564063496,0.016398404564063496,-0.019163334265716064,-0.008417289308554565,0,0,0.0015487820971962114,0.032805923027128966,1.0,1.0
distilbert-base-uncased,17,The capital of Chile is [MASK].,santiago,factual_simple,capital,4,delta_pca,8,0,low_rho_route,0.26211071437974603,0.05,0.6413425582107422,correct_decrease_entropy_error_increase_entropy,0,0.0066753133730482845,0.005911958537569215,5.130778108627201,0.988673802751019,0,0.006140783841340234,0.005758799921146341,5.157026173004798,0.9889680418889258,-0.0005345295317080506,-0.00015315861642287414,0.026248064377597302,0.00029423913790682654,0,0,0.002746048403279256,0.059181063201035576,1.0,1.0
distilbert-base-uncased,17,The capital of Chile is [MASK].,santiago,factual_simple,capital,6,random,8,0,random_route,0.9613527129001369,0.05,1.0740382691028687,correct_decrease_entropy_error_increase_entropy,1,0.8475446975217239,0.8475446975217239,0.1654117006796475,0.04388771472804165,1,0.8627105614656274,0.8627105614656274,0.14767603063580492,0.036080772467807054,0.015165863943903513,0.015165863943903513,-0.017735670043842577,-0.007806942260234595,0,0,0.0013690358599966184,0.030345431997099923,1.0,1.0
distilbert-base-uncased,19,Five minus two equals [MASK].,three,factual_deep,math,2,delta_pca,8,0,high_rho_route,0.9485177795560908,0.05,0.16840243096003382,correct_decrease_entropy_error_increase_entropy,0,0.07567317665229555,2.8360847491947178e-05,10.470500973391868,1.006385487118013,0,0.06747192370869375,2.971165517342433e-05,10.423971159054538,1.005164179227846,-0.0082012529436018,1.3508076814771524e-06,-0.04652981433732961,-0.001221307890166834,0,0,0.0009743479452180722,0.032601596203173704,1.0,1.0
distilbert-base-uncased,19,Five minus two equals [MASK].,three,factual_deep,math,6,delta_pca,8,0,low_rho_route,0.5403405194691265,0.05,0.4291967418240889,correct_decrease_entropy_error_increase_entropy,0,0.22286926294716783,0.05326266306708309,2.9325196985868325,0.9802620838216977,0,0.20501235684540708,0.05276040020388192,2.9419943657963272,0.9740831361906674,-0.017856906101760744,-0.0005022628632011736,0.009474667209494747,-0.006178947631030218,0,0,0.002113649595697242,0.044541273323270326,1.0,1.0
distilbert-base-uncased,19,Five minus two equals [MASK].,three,factual_deep,math,2,random,8,0,random_route,0.715137891130381,0.05,0.27865715466204505,correct_decrease_entropy_error_increase_entropy,0,0.07567317665229555,2.8360847491947178e-05,10.470500973391868,1.006385487118013,0,0.06979116709897673,2.9836355551966098e-05,10.419782923064561,1.0055141640998435,-0.005882009553318815,1.4755080600189199e-06,-0.050718050327306585,-0.0008713230181693898,0,0,0.0014129211548021539,0.04293068535527558,1.0,1.0
distilbert-base-uncased,20,The language of France is [MASK].,french,factual_simple,language,6,state_pca,8,0,high_rho_route,0.9131986129565081,0.05,0.2662199094160345,correct_decrease_entropy_error_increase_entropy,1,0.6821744958541867,0.6821744958541867,0.38246979484127874,0.11235040662819329,1,0.7049829611540599,0.7049829611540599,0.3495816450377347,0.09735587947858293,0.022808465299873237,0.022808465299873237,-0.03288814980354404,-0.01499452714961036,0,0,0.0017065237026609478,0.04561754097780503,1.0,1.0
distilbert-base-uncased,20,The language of France is [MASK].,french,factual_simple,language,4,state_pca,8,0,low_rho_route,0.37150590404205186,0.05,0.40386979715542143,correct_decrease_entropy_error_increase_entropy,0,0.00803707823474336,0.0002819301485442966,8.173851217906451,1.0000793149018024,0,0.007029953798592483,0.0002810900827072503,8.176835360975646,1.000039543153794,-0.0010071244361508766,-8.400658370463169e-07,0.0029841430691952553,-3.97717480082882e-05,0,0,0.0014059917746580333,0.04146842096061496,0.8181818181818182,1.0
distilbert-base-uncased,20,The language of France is [MASK].,french,factual_simple,language,6,random,8,0,random_route,0.7428459558348535,0.05,0.4122843726350304,correct_decrease_entropy_error_increase_entropy,1,0.6821744958541867,0.6821744958541867,0.38246979484127874,0.11235040662819329,1,0.702819071559546,0.702819071559546,0.352655786498474,0.09837550262004424,0.02064457570535938,0.02064457570535938,-0.029814008342804732,-0.013974904008149047,0,0,0.0013432757126710618,0.04225517172515576,1.0,1.0
distilbert-base-uncased,22,The plural of person is [MASK].,people,factual_deep,plural,4,delta_pca,8,0,high_rho_route,0.7768685603827012,0.05,0.28544631017120586,correct_decrease_entropy_error_increase_entropy,0,0.0478838541453254,6.400996833540005e-07,14.261641917480656,1.00412890764502,0,0.04155015174471584,6.778549201526038e-07,14.204332553979253,1.0033902781172233,-0.006333702400609563,3.775523679860333e-08,-0.057309363501403254,-0.0007386295277966859,0,0,0.0015187762989096942,0.04340406062941277,1.0,1.0
distilbert-base-uncased,22,The plural of person is [MASK].,people,factual_deep,plural,2,state_pca,8,0,low_rho_route,0.3099230765067578,0.05,0.41955805992316053,correct_decrease_entropy_error_increase_entropy,0,0.011692173545236306,7.610605885122655e-05,9.4833826792984,1.0006752813278394,0,0.01002145102338824,8.170134456289313e-05,9.412440098915583,1.0005482859749264,-0.001670722521848066,5.595285711666582e-06,-0.07094258038281609,-0.00012699535291305075,0,0,0.00256123019974055,0.056908157846968795,0.8181818181818182,1.0
distilbert-base-uncased,22,The plural of person is [MASK].,people,factual_deep,plural,6,random,8,0,random_route,0.7874049105731185,0.05,0.34531806644780394,correct_decrease_entropy_error_increase_entropy,0,0.15577450511350488,1.3843424328958365e-05,11.187700215766078,1.053542555462648,0,0.14323418150360373,1.3875847412588861e-05,11.185360825415586,1.0481288130619315,-0.01254032360990115,3.2423083630496474e-08,-0.002339390350492465,-0.00541374240071657,0,0,0.002249945846870974,0.05500118507420416,1.0,1.0
distilbert-base-uncased,23,The capital of Nepal is [MASK].,kathmandu,factual_simple,capital,6,delta_pca,8,0,high_rho_route,0.9718940262910694,0.05,3.1330128742237444,correct_decrease_entropy_error_increase_entropy,1,0.9957322642930057,0.9957322642930057,0.0042768684844759946,2.069259135362156e-05,1,0.9973758888615104,0.9973758888615104,0.0026275601531763515,7.860347768118281e-06,0.0016436245685047535,0.0016436245685047535,-0.001649308331299643,-1.2832243585503278e-05,0,0,0.0008375554794192741,0.003562990691192875,0.8181818181818182,1.0
distilbert-base-uncased,23,The capital of Nepal is [MASK].,kathmandu,factual_simple,capital,4,delta_pca,8,0,low_rho_route,0.3432249941767767,0.05,0.375297610344061,correct_decrease_entropy_error_increase_entropy,0,0.008155037790064407,0.0009019725858059623,7.010926431039834,0.9987772024675985,0,0.0074085203793817994,0.0009371889830040881,6.972625606623704,0.9986874394887881,-0.0007465174106826072,3.521639719812576e-05,-0.038300824416129586,-8.976297881035933e-05,0,0,0.0009685538701212216,0.03465608217318587,1.0,0.6666666666666666
distilbert-base-uncased,23,The capital of Nepal is [MASK].,kathmandu,factual_simple,capital,6,random,8,0,random_route,0.8855796235640384,0.05,4.029629073884585,correct_decrease_entropy_error_increase_entropy,1,0.9957322642930057,0.9957322642930057,0.0042768684844759946,2.069259135362156e-05,1,0.996151839710777,0.996151839710777,0.003855583507972022,1.682439681949255e-05,0.0004195754177713784,0.0004195754177713784,-0.00042128497650397237,-3.86819453412901e-06,0,0,0.0006387589393252482,0.001952889323917051,0.8181818181818182,0.42857142857142855
distilbert-base-uncased,25,The continent containing Thailand is [MASK].,asia,factual_deep,continent,4,state_pca,8,0,high_rho_route,0.6651348717195633,0.05,0.3327583368234693,correct_decrease_entropy_error_increase_entropy,0,0.12629990776428468,8.168577466713429e-05,9.412630687939728,1.0172750916316813,0,0.11211983649186669,8.76879391688452e-05,9.341726191773777,1.013793308854011,-0.014180071272417993,6.002164501710906e-06,-0.07090449616595151,-0.003481782777670306,0,0,0.0027244642074845385,0.06097825895759114,1.0,1.0
distilbert-base-uncased,25,The continent containing Thailand is [MASK].,asia,factual_deep,continent,6,delta_pca,8,0,low_rho_route,0.3135927934127237,0.05,0.2654363404804474,correct_decrease_entropy_error_increase_entropy,0,0.044803128710516706,0.02781194519269996,3.5822896673822866,0.956769872903851,0,0.043077739448344504,0.027857383836208772,3.580657218980548,0.9562234481889332,-0.0017253892621722014,4.543864350881055e-05,-0.0016324484017387064,-0.0005464247149177259,0,0,0.0018487927423734437,0.04798737041661179,1.0,1.0
distilbert-base-uncased,25,The continent containing Thailand is [MASK].,asia,factual_deep,continent,4,random,8,0,random_route,0.7035406314420646,0.05,0.4141135292736338,correct_decrease_entropy_error_increase_entropy,0,0.12629990776428468,8.168577466713429e-05,9.412630687939728,1.0172750916316813,0,0.11536029695242357,8.836213748265518e-05,9.334066989090921,1.0146227337021734,-0.010939610811861109,6.676362815520888e-06,-0.0785636988488072,-0.002652357929507909,0,0,0.0015769962439704838,0.04409101360694968,1.0,1.0
distilbert-base-uncased,26,The capital of Iraq is [MASK].,baghdad,factual_simple,capital,6,state_pca,8,0,high_rho_route,0.9403295876214987,0.05,1.118846996109655,correct_decrease_entropy_error_increase_entropy,1,0.980509631146186,0.980509631146186,0.019682810705364456,0.0004191475084897034,1,0.9865246094672041,0.9865246094672041,0.013567007589155454,0.0002025967924995653,0.006014978321018161,0.006014978321018161,-0.006115803116209002,-0.0002165507159901381,0,0,0.0015402346372982857,0.012029956874648652,0.8181818181818182,1.0
distilbert-base-uncased,26,The capital of Iraq is [MASK].,baghdad,factual_simple,capital,4,delta_pca,8,0,low_rho_route,0.11469366604566628,0.05,0.4408537323143079,correct_decrease_entropy_error_increase_entropy,0,0.0073153561459187565,0.000655578877330117,7.329991930451165,0.999274681572168,0,0.006674187376131785,0.0006284967659432667,7.372179675622204,0.9993047797274608,-0.0006411687697869713,-2.708211138685026e-05,0.04218774517103974,3.0098155292757056e-05,0,0,0.0016359888664186206,0.045675818306010564,0.8181818181818182,0.6666666666666666
distilbert-base-uncased,26,The capital of Iraq is [MASK].,baghdad,factual_simple,capital,6,random,8,0,random_route,0.9611471336498075,0.05,0.9702078258803775,correct_decrease_entropy_error_increase_entropy,1,0.980509631146186,0.980509631146186,0.019682810705364456,0.0004191475084897034,1,0.9861616262317602,0.9861616262317602,0.013935016685555827,0.0002121257792923048,0.005651995085574235,0.005651995085574235,-0.005747794019808629,-0.00020702172919739859,0,0,0.0011436701010599031,0.011334649839054698,0.8181818181818182,1.0
distilbert-base-uncased,28,The usual color of grass is [MASK].,green,factual_deep,common,2,state_pca,8,0,high_rho_route,0.7888205908398825,0.05,0.26328693363084915,correct_decrease_entropy_error_increase_entropy,0,0.02228045332186526,8.950893746201036e-05,9.321172077758403,1.000894522999487,0,0.019241268749734697,9.19640630670441e-05,9.294112676063122,1.0007309130191544,-0.003039184572130562,2.4551256050337416e-06,-0.027059401695280982,-0.00016360998033260188,0,0,0.0014552408994190692,0.04288034156693138,0.8181818181818182,1.0
distilbert-base-uncased,28,The usual color of grass is [MASK].,green,factual_deep,common,4,state_pca,8,0,low_rho_route,0.5103410527173132,0.05,0.3739276220727113,correct_decrease_entropy_error_increase_entropy,0,0.024828490322680242,0.004351682135710617,5.437192810765384,0.9931964817043806,0,0.021141683580560615,0.004308284476510214,5.447215487395051,0.9930000858370838,-0.003686806742119627,-4.339765920040317e-05,0.01002267662966716,-0.0001963958672968058,0,0,0.0020224242082087203,0.050565055740255306,0.8181818181818182,0.6666666666666666
distilbert-base-uncased,28,The usual color of grass is [MASK].,green,factual_deep,common,4,random,8,0,random_route,0.679260598953922,0.05,0.49982936574466375,correct_decrease_entropy_error_increase_entropy,0,0.024828490322680242,0.004351682135710617,5.437192810765384,0.9931964817043806,0,0.022397766896276976,0.004496845556360854,5.404379115487827,0.9928178022502607,-0.002430723426403266,0.0001451634206502371,-0.03281369527755729,-0.0003786794541198457,0,0,0.0018193822585717391,0.04728194474292425,1.0,1.0
