model,prompt_id,case_id,prompt,target,task,topic,layer,top_m,entropy,varentropy,confidence,semantic_entropy_proxy,semantic_density_uncertainty,haloscope_style_consistency_risk,target_in_topm,target_top1_before
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:2:1:layer23,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,23,16,1.9917117208645918,1.559236959503958,0.45888830007535714,1.1256420079133438,0.2623044924862902,0.6150270460868859,1,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:4:2:layer23,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,23,16,1.9637512513324966,1.8151340648133918,0.5057428850287853,1.0301513217795146,0.2683326382086627,0.5478330521941459,1,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:2:0:layer23,factual_completion:2:0,A person who teaches students is a,teacher,factual_completion,role,23,16,2.314461466529385,0.6358010461162963,0.21370741521667247,1.112825518016702,0.2737285965354944,0.653771307251185,1,1.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:4:1:layer23,factual_completion:4:1,The currency used in Japan is the,yen,factual_completion,currency,23,16,1.1184479108824472,1.3538583147079697,0.49992836802119844,0.8416270746920507,0.17323377260723993,0.5381385536389696,1,1.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:factual_completion:3:2:layer23,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,factual_completion,language,23,16,2.4781458324259353,0.5550517394999683,0.20773893579620994,1.3045757291890094,0.33274114487466,0.7805053734012553,1,0.0
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:2:0:layer23,generative_open:2:0,"When people want to celebrate, they often bring",,generative_open,common,23,16,1.4646139633749877,2.2705218112445222,0.6548698750263716,0.929834473161406,0.20309683267682344,0.4842846972820033,0,
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:4:1:layer23,generative_open:4:1,"In a school hallway, a student may notice the",,generative_open,scene,23,16,0.8577626972639014,1.9654261031171716,0.8058306068692005,0.6606556935871342,0.12662278982974717,0.33018231842024426,0,
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:generative_open:1:2:layer23,generative_open:1:2,A traveler entering a city might first see the,,generative_open,scene,23,16,2.377057455270669,0.7376949864333495,0.21667749284169643,1.246487618747762,0.32543360386479003,0.7135422392923133,0,
microsoft/phi-2,microsoft_phi-2:token_level_qa:7:0:layer16,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,16,16,1.278392148402335,1.4129050905597231,0.544674254867867,0.4176790425434201,0.20267115283039838,0.19899095416009174,0,0.0
microsoft/phi-2,microsoft_phi-2:token_level_qa:2:1:layer16,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,16,16,1.6451601504507232,1.3477346186609394,0.3985607508957474,0.928971829774665,0.26457796554972834,0.5688833254637844,0,0.0
microsoft/phi-2,microsoft_phi-2:token_level_qa:4:2:layer16,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,16,16,2.1817073766754866,1.1211536309272088,0.3268541658747694,1.1317933029165168,0.31035766971307566,0.6302634629650387,0,0.0
microsoft/phi-2,microsoft_phi-2:factual_completion:2:0:layer16,factual_completion:2:0,A person who teaches students is a,teacher,factual_completion,role,16,16,2.2042394193531587,1.256235630243344,0.3912100386130773,1.1771712480270975,0.31450188483118,0.6508067906715649,0,0.0
microsoft/phi-2,microsoft_phi-2:factual_completion:4:1:layer16,factual_completion:4:1,The currency used in Japan is the,yen,factual_completion,currency,16,16,2.1814556071250926,1.0221862622159397,0.25032360021717476,1.200223361425015,0.32677540047971765,0.6939348796003438,0,0.0
microsoft/phi-2,microsoft_phi-2:factual_completion:3:2:layer16,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,factual_completion,language,16,16,2.5758143510110463,0.3812720659122376,0.1685480187834339,1.3781423772329677,0.35349926344280636,0.843871632744466,0,0.0
microsoft/phi-2,microsoft_phi-2:generative_open:2:0:layer16,generative_open:2:0,"When people want to celebrate, they often bring",,generative_open,common,16,16,2.5201941754123265,0.49380115237663286,0.20002380039020348,1.3724720131451178,0.34888042749447723,0.8438175281763154,0,
microsoft/phi-2,microsoft_phi-2:generative_open:4:1:layer16,generative_open:4:1,"In a school hallway, a student may notice the",,generative_open,scene,16,16,2.3929125381545053,0.6795405581153553,0.19214202556811974,1.2461691050854173,0.3314971516797399,0.7544083727945812,0,
microsoft/phi-2,microsoft_phi-2:generative_open:1:2:layer16,generative_open:1:2,A traveler entering a city might first see the,,generative_open,scene,16,16,2.396202054775975,0.76280583617732,0.2661376067494502,1.289508711182664,0.33982065354998725,0.769789285174389,0,
microsoft/phi-2,microsoft_phi-2:token_level_qa:7:0:layer31,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,31,16,1.3520451766956674,0.8993082038503333,0.5021642682086874,0.6907885936671301,0.2564551148324298,0.4055503059878015,1,0.0
microsoft/phi-2,microsoft_phi-2:token_level_qa:2:1:layer31,token_level_qa:2:1,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,31,16,0.1177107795086112,0.5399512379006356,0.9810358910905687,0.09423502145693186,0.01449081075231684,0.042282083014635354,1,1.0
microsoft/phi-2,microsoft_phi-2:token_level_qa:4:2:layer31,token_level_qa:4:2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,31,16,0.395382094877738,1.1071893970393387,0.9145452442484873,0.3692696284965604,0.06304655261937464,0.17548936572499332,1,0.0
microsoft/phi-2,microsoft_phi-2:factual_completion:2:0:layer31,factual_completion:2:0,A person who teaches students is a,teacher,factual_completion,role,31,16,0.37678593912231345,1.3691902959589828,0.9317606859024853,0.25062234990931936,0.049741306062712765,0.11820116192813483,1,1.0
microsoft/phi-2,microsoft_phi-2:factual_completion:4:1:layer31,factual_completion:4:1,The currency used in Japan is the,yen,factual_completion,currency,31,16,0.6775712393421437,0.4747833644465197,0.6984114232766246,0.016123837421020467,0.15408448589549384,0.006784459447515576,1,1.0
microsoft/phi-2,microsoft_phi-2:factual_completion:3:2:layer31,factual_completion:3:2,The language most commonly spoken in Brazil is,Portuguese,factual_completion,language,31,16,0.10164515070271762,0.5485589077061788,0.9857837544202595,0.044090824436992616,0.00925585382543237,0.019021015906758292,1,1.0
microsoft/phi-2,microsoft_phi-2:generative_open:2:0:layer31,generative_open:2:0,"When people want to celebrate, they often bring",,generative_open,common,31,16,1.8516010795998836,1.2200664249475133,0.4182811267890528,1.2156718027007594,0.29906651826547215,0.6844936823232874,0,
microsoft/phi-2,microsoft_phi-2:generative_open:4:1:layer31,generative_open:4:1,"In a school hallway, a student may notice the",,generative_open,scene,31,16,2.4937844825883615,0.47169226352543725,0.19089370042719478,1.3591345772388914,0.347014195415275,0.822247044718103,0,
microsoft/phi-2,microsoft_phi-2:generative_open:1:2:layer31,generative_open:1:2,A traveler entering a city might first see the,,generative_open,scene,31,16,1.753539124658019,2.002082066884886,0.5607764135178019,1.1127236072933893,0.25843573355007177,0.6023684317292095,0,
