model,item_id,task_type,question,answer,gold_idx,pred_answer,pred_idx,correct,confidence,gold_probability,entropy,varentropy,margin,self_consistency,verbalized_confidence,p_A,p_B,p_C,p_D,global_confidence_bin,confidence_bin,outcome_group
Qwen/Qwen2.5-0.5B,16,commonsense,Where would you usually store frozen food?,B,1,B,1,1,0.9553975286765602,0.9553975286765602,0.22948775385949707,0.7277479533809597,0.9346172891110452,1.0,0.5276027321815491,0.020780239565514988,0.9553975286765602,0.0132087239192116,0.010613507838713163,high,high,correct_high
Qwen/Qwen2.5-0.5B,17,commonsense,Which item is typically used to write on a whiteboard?,A,0,A,0,1,0.9647374805377882,0.9647374805377882,0.18967556125819843,0.6499505753999217,0.9491439514921148,1.0,0.40831273794174194,0.9647374805377882,0.01252975259167455,0.01559352904567332,0.0071392378248639286,high,high,correct_high
Qwen/Qwen2.5-0.5B,18,commonsense,What do people usually use to unlock a door?,A,0,A,0,1,0.9127830924127549,0.9127830924127549,0.38144469991566543,0.9019879268226766,0.8628717502089114,1.0,0.4149453043937683,0.9127830924127549,0.0499113422038435,0.018361356678066574,0.018944208705334812,high,high,correct_high
Qwen/Qwen2.5-0.5B,19,logic,All squares are rectangles. This shape is a square. What follows?,A,0,A,0,1,0.4253806817199974,0.4253806817199974,1.236437911768922,0.22502029599686213,0.13302109976904825,1.0,0.41053828597068787,0.4253806817199974,0.06836489690143258,0.29235958195094913,0.21389483942762086,low,low,correct_low
Qwen/Qwen2.5-0.5B,20,logic,"If all mammals are animals and whales are mammals, whales are what?",B,1,B,1,1,0.9328029225956495,0.9328029225956495,0.3169006396063546,0.8558388331663069,0.9003815144857993,1.0,0.5218371152877808,0.016302507799915843,0.9328029225956495,0.018473161494584507,0.03242140810985021,high,high,correct_high
Qwen/Qwen2.5-0.5B,21,logic,A is taller than B. B is taller than C. Who is tallest?,A,0,A,0,1,0.4287439591486492,0.4287439591486492,1.3008620520903742,0.17447606511864877,0.1882403950599407,1.0,0.4808306097984314,0.4287439591486492,0.17054256419353228,0.24050356408870852,0.16020991256910996,low,low,correct_low
Qwen/Qwen2.5-0.5B,22,logic,"If the switch is off, the lamp is dark. The lamp is not dark. What can you infer?",B,1,A,0,0,0.4058283653769597,0.4058283653769597,1.1577765837392449,0.31667967741313713,0.0,1.0,0.3864772915840149,0.4058283653769597,0.4058283653769597,0.05240779421584262,0.13593547503023795,low,high,wrong_high
Qwen/Qwen2.5-0.5B,23,logic,Only employees can enter. Maria entered. What is the best inference?,A,0,A,0,1,0.7775119473204841,0.7775119473204841,0.7712189344762779,0.9497657600207673,0.6875084066568105,1.0,0.38423317670822144,0.7775119473204841,0.0900035406636737,0.059025763038362884,0.07345874897747937,high,low,correct_low
Qwen/Qwen2.5-0.5B,24,trick,A bat and ball cost 1.10 dollars. The bat costs 1 dollar more than the ball. What does the ball cost?,A,0,B,1,0,0.29810798669380784,0.2630793748930152,1.3750847236801085,0.021790808744652175,0.03502861180079264,1.0,0.5208401679992676,0.2630793748930152,0.29810798669380784,0.24330864765146612,0.1955039907617109,low,low,wrong_low
Qwen/Qwen2.5-0.5B,25,trick,"If you overtake the person in second place, what place are you in?",B,1,A,0,0,0.38212514441968654,0.23912780504568487,1.3395732004725005,0.09689612986205845,0.14299733937400166,1.0,0.4090557098388672,0.38212514441968654,0.23912780504568487,0.1805031371851897,0.1982439133494388,low,high,wrong_high
Qwen/Qwen2.5-0.5B,26,trick,A farmer has 15 sheep and all but 8 run away. How many are left?,B,1,A,0,0,0.3381640324331396,0.2360765414966582,1.3122019263841427,0.12037611337447766,0.020488322991768337,0.6666666666666666,0.42334485054016113,0.3381640324331396,0.2360765414966582,0.10808371662883101,0.31767570944137125,low,low,wrong_low
Qwen/Qwen2.5-0.5B,27,trick,How many months have 28 days?,D,3,D,3,1,0.3649365809132282,0.3649365809132282,1.3459950557901033,0.08108105370245056,0.11411958141293232,1.0,0.5099091529846191,0.2508169995002959,0.21453514853184621,0.16971127105462966,0.3649365809132282,low,low,correct_low
Qwen/Qwen2.5-0.5B,28,trick,"Before Mount Everest was discovered, what was the tallest mountain?",B,1,A,0,0,0.3795774929335129,0.3349759618046513,1.2710358973371243,0.18648506281025057,0.044601531128861616,0.6666666666666666,0.3674500584602356,0.3795774929335129,0.3349759618046513,0.1938692132950436,0.09157733196679224,low,high,wrong_high
Qwen/Qwen2.5-0.5B,29,trick,A doctor gives you 3 pills and says take one every 30 minutes. How long until all are taken?,B,1,B,1,1,0.31516598290724956,0.31516598290724956,1.3606137651266736,0.04997639940453184,0.019094941609730687,0.6666666666666666,0.5070391297340393,0.18527652335096784,0.31516598290724956,0.2960710412975189,0.2034864524442639,low,low,correct_low
Qwen/Qwen2.5-0.5B,30,knowledge,Who wrote the play Hamlet?,B,1,B,1,1,0.9888416900250487,0.9888416900250487,0.0733394712203884,0.3423088807574028,0.9842624445182131,1.0,0.5138120651245117,0.0036224813544756818,0.9888416900250487,0.002956583113639998,0.004579245506835673,high,high,correct_high
Qwen/Qwen2.5-0.5B,31,knowledge,What is the capital of France?,C,2,C,2,1,0.9762591487415062,0.9762591487415062,0.13611976411049895,0.5211166719348492,0.9633800844170568,1.0,0.54802405834198,0.005896465316135548,0.0049653216179088265,0.9762591487415062,0.012879064324449433,high,high,correct_high
Qwen/Qwen2.5-0.5B,32,knowledge,Which language is primarily spoken in Brazil?,B,1,B,1,1,0.9803735620543539,0.9803735620543539,0.11353526659930613,0.4471826112199041,0.9672365488081242,1.0,0.5400055646896362,0.01313701324622976,0.9803735620543539,0.003219363550196682,0.0032700611492197775,high,high,correct_high
Qwen/Qwen2.5-0.5B,33,knowledge,What is H2O commonly called?,B,1,B,1,1,0.700535142244749,0.700535142244749,0.7791866498761604,0.6394720700243383,0.45075164493640374,1.0,0.5418444871902466,0.027162695198822837,0.700535142244749,0.02251866524808309,0.2497834973083453,high,low,correct_low
Qwen/Qwen2.5-0.5B,34,knowledge,Which continent is Egypt in?,C,2,C,2,1,0.9280694518666913,0.9280694518666913,0.32669996570278825,0.8387690498037571,0.8866507891149896,1.0,0.5390281677246094,0.041418662751701675,0.009685273832722753,0.9280694518666913,0.020826611548884388,high,high,correct_high
Qwen/Qwen2.5-0.5B,35,knowledge,What instrument has black and white keys?,B,1,B,1,1,0.5467629961822534,0.5467629961822534,1.084193989841547,0.4625586549116144,0.2494931113992896,1.0,0.5040150880813599,0.29726988478296384,0.5467629961822534,0.05945771746866118,0.09650940156612155,low,low,correct_low
