prompt_id,prompt,task,topic,fact_id,template_id,target,target_id,observed_condition,final_top1_token,final_top1_prob_topk,target_rank_final,model
12,People at the airport asked for a [MASK].,ambiguous_open,open,ambiguous_open:146,extended,,,ambiguous,airport,0.5339270905082515,,google/bert_uncased_L-2_H-128_A-2
13,A triangle has [MASK] sides.,factual_deep,math,math:triangle_sides,t0,three,2093.0,error,two,0.40143344264065667,2.0,google/bert_uncased_L-2_H-128_A-2
14,Five minus two equals [MASK].,factual_simple,math,factual_simple:52,extended,three,2093.0,error,1,0.11486916631141844,5.0,google/bert_uncased_L-2_H-128_A-2
15,The story about the station mentioned a [MASK].,ambiguous_open,open,ambiguous_open:127,extended,,,ambiguous,story,0.23925446378621767,,google/bert_uncased_L-2_H-128_A-2
16,People in France pay with the [MASK].,factual_deep,currency,currency:france,t1,euro,9944.0,error,netherlands,0.189064490123795,168.0,google/bert_uncased_L-2_H-128_A-2
17,A person who cooks food is a [MASK].,factual_simple,role,factual_simple:65,extended,chef,10026.0,error,vegetarian,0.2842523052762343,22.0,google/bert_uncased_L-2_H-128_A-2
18,The patient waited for the [MASK].,ambiguous_open,role,ambiguous_open:164,extended,,,ambiguous,hospital,0.30052828442757334,,google/bert_uncased_L-2_H-128_A-2
19,A common container for coffee is a [MASK].,factual_deep,common,common:coffee,t1,cup,2452.0,error,coffee,0.20713559299589646,629.0,google/bert_uncased_L-2_H-128_A-2
20,The capital of France is [MASK].,factual_simple,capital,factual_simple:0,extended,paris,3000.0,error,france,0.42450126275711947,29.0,google/bert_uncased_L-2_H-128_A-2
21,The bat flew out of the [MASK].,ambiguous_open,polysemy,ambiguous_open:161,extended,,,ambiguous,air,0.265923157258414,,google/bert_uncased_L-2_H-128_A-2
22,Germany's capital city is [MASK].,factual_deep,capital,capital:germany,t1,berlin,4068.0,error,germany,0.49118825176569586,31.0,google/bert_uncased_L-2_H-128_A-2
23,The color of the sky is often [MASK].,factual_simple,common,factual_simple:67,extended,blue,2630.0,error,visible,0.23942627044316017,4.0,google/bert_uncased_L-2_H-128_A-2
