model,prompt,target,task,topic,layer,subspace_family,sign,top1_token_before,top1_token_after,entropy_before,entropy_after,delta_entropy,confidence_before,confidence_after,delta_confidence,top10_jaccard,rho
microsoft/phi-2,A traveler entering a city might first see the,,generative_open,scene,31,state_pca,decrease,city,city,1.753539124658019,1.6883213888991933,-0.06521773575882572,0.5607764135178019,0.5835873202144103,0.022810906696608346,1.0,0.8598241385167855
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,12,state_pca,increase,珣,珣,1.811423407909447,1.8764499274379962,0.06502651952854932,0.4841663650769991,0.46362304883034305,-0.020543316246656063,1.0,0.8930696495347886
Qwen/Qwen2.5-0.5B,"In a school hallway, a student may notice the",,generative_open,scene,23,delta_pca,decrease,following,following,0.8577626972639014,0.793437371567498,-0.06432532569640337,0.8058306068692005,0.8233720863132905,0.017541479444090013,1.0,0.9569866166041533
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,12,delta_pca,increase,珣,珣,1.811423407909447,1.8756413432235972,0.06421793531415032,0.4841663650769991,0.464095269087871,-0.020071095989128096,1.0,0.9137085817046345
Qwen/Qwen2.5-0.5B,"In a school hallway, a student may notice the",,generative_open,scene,23,state_pca,decrease,following,following,0.8577626972639014,0.7935834031228883,-0.06417929414101309,0.8058306068692005,0.8229142390073109,0.01708363213811037,1.0,0.9344112455098901
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,12,delta_pca,decrease,珣,珣,1.811423407909447,1.7478049424058049,-0.06361846550364203,0.4841663650769991,0.5037206073148511,0.019554242237852015,1.0,0.9137085817046345
microsoft/phi-2,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,16,state_pca,increase,Answer,Answer,1.278392148402335,1.340329653750417,0.061937505348081956,0.544674254867867,0.5292814277635746,-0.015392827104292461,1.0,0.9511277700140707
microsoft/phi-2,A person who teaches students is a,teacher,factual_completion,role,31,state_pca,increase,teacher,teacher,0.37678593912231345,0.4386500527815558,0.061864113659242326,0.9317606859024853,0.9181267948187732,-0.013633891083712046,0.8181818181818182,0.9266420216256577
Qwen/Qwen2.5-0.5B,"When people want to celebrate, they often bring",,generative_open,common,12,state_pca,decrease,珣,珣,1.811423407909447,1.7499822551732538,-0.061441152736193105,0.4841663650769991,0.5033056073184369,0.01913924224143776,1.0,0.8930696495347886
Qwen/Qwen2.5-0.5B,The currency used in Japan is the,yen,factual_completion,currency,23,delta_pca,increase,yen,yen,1.1184479108824472,1.179324189925745,0.06087627904329773,0.49992836802119844,0.4898808647521466,-0.01004750326905185,1.0,0.9313656547903014
microsoft/phi-2,A person who teaches students is a,teacher,factual_completion,role,31,delta_pca,increase,teacher,teacher,0.37678593912231345,0.43748409583812886,0.06069815671581541,0.9317606859024853,0.9183063650750056,-0.01345432082747966,0.8181818181818182,0.9252390276141094
Qwen/Qwen2.5-0.5B,The currency used in Japan is the,yen,factual_completion,currency,23,state_pca,increase,yen,yen,1.1184479108824472,1.1786464701368338,0.06019855925438655,0.49992836802119844,0.4900260402767123,-0.009902327744486128,0.8181818181818182,0.8956400400131939
Qwen/Qwen2.5-0.5B,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,23,delta_pca,increase,The,The,1.9637512513324966,2.0236613174459768,0.059910066113480154,0.5057428850287853,0.48327730646910305,-0.02246557855968223,0.8181818181818182,0.7802478105458946
microsoft/phi-2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,31,delta_pca,increase,William,William,0.395382094877738,0.45524208472898586,0.05985998985124785,0.9145452442484873,0.8990605736659293,-0.01548467058255798,1.0,0.9846048579270748
Qwen/Qwen2.5-0.5B,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,23,delta_pca,decrease,The,The,1.9637512513324966,1.9049125888146383,-0.0588386625178583,0.5057428850287853,0.5270206075358717,0.021277722507086372,1.0,0.7802478105458946
Qwen/Qwen2.5-0.5B,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,23,state_pca,increase,The,The,1.9637512513324966,2.0225189525034333,0.05876770117093666,0.5057428850287853,0.4857342215841234,-0.0200086634446619,1.0,0.7289244020589231
microsoft/phi-2,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,31,state_pca,increase,William,William,0.395382094877738,0.45388840735741137,0.05850631247967336,0.9145452442484873,0.8993235745448518,-0.015221669703635476,1.0,0.9816615637027531
microsoft/phi-2,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,16,delta_pca,increase,The,The,1.6451601504507232,1.701890315283336,0.05673016483261284,0.3985607508957474,0.3855590797550011,-0.013001671140746296,1.0,0.8772975044316035
Qwen/Qwen2.5-0.5B,"Question: Who wrote Hamlet?
Answer:",Shakespeare,token_level_qa,culture,23,state_pca,decrease,The,The,1.9637512513324966,1.907664364681796,-0.05608688665070072,0.5057428850287853,0.5242283257796893,0.01848544075090397,1.0,0.7289244020589231
microsoft/phi-2,"Question: Which planet is known as the Red Planet?
Answer:",Mars,token_level_qa,science,16,state_pca,increase,The,The,1.6451601504507232,1.7009502654314153,0.055790114980692085,0.3985607508957474,0.38553109129164354,-0.01302965960410385,1.0,0.7123105727041159
